AAJNHDNO_00002	K02338
AAJNHDNO_00975	0
AAJNHDNO_00976	K03111
AAJNHDNO_00977	0
AAJNHDNO_00978	0
AAJNHDNO_00979	0
AAJNHDNO_00981	0
AAJNHDNO_00982	0
AAJNHDNO_00983	0
AAJNHDNO_00984	0
AAJNHDNO_00985	K06223
AAJNHDNO_00986	K06899
AAJNHDNO_00987	0
AAJNHDNO_00990	0
AAJNHDNO_00995	K02314
AAJNHDNO_00996	0
AAJNHDNO_00997	0
AAJNHDNO_00998	0
AAJNHDNO_00999	0
AAJNHDNO_01001	0
AAJNHDNO_01002	K12055
AAJNHDNO_01003	0
AAJNHDNO_01004	0
AAJNHDNO_01005	0
AAJNHDNO_01006	K06916
AAJNHDNO_01007	K03885
AAJNHDNO_01008	0
AAJNHDNO_01009	0
AAJNHDNO_01010	0
AAJNHDNO_01011	0
AAJNHDNO_01012	0
AAJNHDNO_01013	0
AAJNHDNO_01014	0
AAJNHDNO_01015	K09862
AAJNHDNO_01016	K00859
AAJNHDNO_01017	K02464
AAJNHDNO_01018	K02653
AAJNHDNO_01019	K02652
AAJNHDNO_01020	K02650
AAJNHDNO_01021	K13009
AAJNHDNO_01023	K00767
AAJNHDNO_01024	0
AAJNHDNO_01025	K01447
AAJNHDNO_01026	K03807
AAJNHDNO_01027	K03406
AAJNHDNO_01028	K01581
AAJNHDNO_01029	K07032
AAJNHDNO_01030	K19353
AAJNHDNO_01031	K07126
AAJNHDNO_01032	K07336
AAJNHDNO_01033	K16090
AAJNHDNO_01034	K00380
AAJNHDNO_01035	K12979
AAJNHDNO_01036	K07160
AAJNHDNO_01037	0
AAJNHDNO_01038	0
AAJNHDNO_01039	K03719
AAJNHDNO_01040	0
AAJNHDNO_01041	K12372
AAJNHDNO_01042	K12371
AAJNHDNO_01043	K12370
AAJNHDNO_01044	K12369
AAJNHDNO_01045	K02035
AAJNHDNO_01046	0
AAJNHDNO_01047	K12368
AAJNHDNO_01048	0
AAJNHDNO_01049	K01262
AAJNHDNO_01050	K02035
AAJNHDNO_01051	K12368
AAJNHDNO_01052	0
AAJNHDNO_01053	K15011
AAJNHDNO_01054	K15012
AAJNHDNO_01055	0
AAJNHDNO_01056	0
AAJNHDNO_01057	K09934
AAJNHDNO_01058	K06894
AAJNHDNO_01059	0
AAJNHDNO_01060	0
AAJNHDNO_01061	K01607
AAJNHDNO_01062	K03642
AAJNHDNO_01063	K02434
AAJNHDNO_01064	K02433
AAJNHDNO_01065	K02435
AAJNHDNO_01066	K03569
AAJNHDNO_01067	K03570
AAJNHDNO_01068	K03571
AAJNHDNO_01069	K06287
AAJNHDNO_01070	K08301
AAJNHDNO_01071	0
AAJNHDNO_01072	K01501
AAJNHDNO_01073	K03568
AAJNHDNO_01074	K09889
AAJNHDNO_01075	K03592
AAJNHDNO_01076	0
AAJNHDNO_01077	K01679
AAJNHDNO_01078	0
AAJNHDNO_01079	K04564
AAJNHDNO_01080	K07238
AAJNHDNO_01081	K08485
AAJNHDNO_01082	K06958
AAJNHDNO_01083	K02806
AAJNHDNO_01084	K05808
AAJNHDNO_01085	K03092
AAJNHDNO_01086	K06861
AAJNHDNO_01087	K09774
AAJNHDNO_01088	K11719
AAJNHDNO_01089	K03270
AAJNHDNO_01090	K06041
AAJNHDNO_01092	K02065
AAJNHDNO_01093	K02066
AAJNHDNO_01094	K02067
AAJNHDNO_01095	K07323
AAJNHDNO_01096	K07122
AAJNHDNO_01097	0
AAJNHDNO_01098	K00790
AAJNHDNO_01099	K00765
AAJNHDNO_01100	K00013
AAJNHDNO_01101	K00817
AAJNHDNO_01102	K04691
AAJNHDNO_01103	0
AAJNHDNO_01104	K08305
AAJNHDNO_01105	K00957
AAJNHDNO_01106	K00955
AAJNHDNO_01107	K09908
AAJNHDNO_01108	K07018
AAJNHDNO_01109	K01867
AAJNHDNO_01110	K06916
AAJNHDNO_01111	0
AAJNHDNO_01112	0
AAJNHDNO_01113	K00249
AAJNHDNO_01114	0
AAJNHDNO_01115	K02871
AAJNHDNO_01116	K02996
AAJNHDNO_01117	K00411
AAJNHDNO_01118	K00412
AAJNHDNO_01119	K00413
AAJNHDNO_01120	K03599
AAJNHDNO_01121	K03600
AAJNHDNO_01122	0
AAJNHDNO_01123	K03271
AAJNHDNO_01124	K07460
AAJNHDNO_01125	K07121
AAJNHDNO_01126	K07056
AAJNHDNO_01127	K03925
AAJNHDNO_01128	K03438
AAJNHDNO_01129	K03586
AAJNHDNO_01130	K03587
AAJNHDNO_01131	K01928
AAJNHDNO_01132	K01929
AAJNHDNO_01133	K01000
AAJNHDNO_01134	K01925
AAJNHDNO_01135	K03588
AAJNHDNO_01136	K02563
AAJNHDNO_01137	K01924
AAJNHDNO_01138	K01921
AAJNHDNO_01139	K03589
AAJNHDNO_01140	K03590
AAJNHDNO_01141	K03531
AAJNHDNO_01142	K02535
AAJNHDNO_01143	0
AAJNHDNO_01144	0
AAJNHDNO_01145	K03070
AAJNHDNO_01146	K00620
AAJNHDNO_01147	K00799
AAJNHDNO_01148	K03574
AAJNHDNO_01149	K00798
AAJNHDNO_01150	0
AAJNHDNO_01151	K00077
AAJNHDNO_01152	0
AAJNHDNO_01153	K09767
AAJNHDNO_01154	K03442
AAJNHDNO_01155	K08218
AAJNHDNO_01156	K07443
AAJNHDNO_01157	0
AAJNHDNO_01158	0
AAJNHDNO_01159	K00059
AAJNHDNO_01160	K07226
AAJNHDNO_01161	K07113
AAJNHDNO_01162	K04078
AAJNHDNO_01163	K04077
AAJNHDNO_01164	0
AAJNHDNO_01165	K06199
AAJNHDNO_01166	0
AAJNHDNO_01167	0
AAJNHDNO_01168	0
AAJNHDNO_01169	0
AAJNHDNO_01170	0
AAJNHDNO_01171	0
AAJNHDNO_01172	0
AAJNHDNO_01173	K00763
AAJNHDNO_01174	K18138
AAJNHDNO_01175	K03585
AAJNHDNO_01176	K09947
AAJNHDNO_01177	K07338
AAJNHDNO_01178	0
AAJNHDNO_01179	K07231
AAJNHDNO_01180	K03744
AAJNHDNO_01181	0
AAJNHDNO_01182	K21024
AAJNHDNO_01183	K04564
AAJNHDNO_01184	K06895
AAJNHDNO_01185	K09964
AAJNHDNO_01186	K05596
AAJNHDNO_01187	0
AAJNHDNO_01188	0
AAJNHDNO_01189	0
AAJNHDNO_01190	0
AAJNHDNO_01191	K04758
AAJNHDNO_01192	K04759
AAJNHDNO_01193	K07490
AAJNHDNO_01194	K10680
AAJNHDNO_01195	K18567
AAJNHDNO_01196	0
AAJNHDNO_01197	K08682
AAJNHDNO_01198	0
AAJNHDNO_01199	K00655
AAJNHDNO_01200	0
AAJNHDNO_01201	0
AAJNHDNO_01202	0
AAJNHDNO_01203	0
AAJNHDNO_01204	0
AAJNHDNO_01205	0
AAJNHDNO_01206	K01451
AAJNHDNO_01207	K03762
AAJNHDNO_01208	K01426
AAJNHDNO_01209	0
AAJNHDNO_01210	0
AAJNHDNO_01211	0
AAJNHDNO_01212	0
AAJNHDNO_01213	0
AAJNHDNO_01214	K05520
AAJNHDNO_01215	0
AAJNHDNO_01216	K03322
AAJNHDNO_01217	K01676
AAJNHDNO_01218	K21019
AAJNHDNO_01219	0
AAJNHDNO_01220	0
AAJNHDNO_01221	K00873
AAJNHDNO_01222	K14055
AAJNHDNO_01223	0
AAJNHDNO_01224	0
AAJNHDNO_01225	0
AAJNHDNO_01226	0
AAJNHDNO_01227	0
AAJNHDNO_01228	K03924
AAJNHDNO_01229	0
AAJNHDNO_01230	0
AAJNHDNO_01231	0
AAJNHDNO_01232	0
AAJNHDNO_01233	0
AAJNHDNO_01234	K01141
AAJNHDNO_01235	0
AAJNHDNO_01236	K01433
AAJNHDNO_01237	0
AAJNHDNO_01238	0
AAJNHDNO_01239	K06986
AAJNHDNO_01240	K14335
AAJNHDNO_01241	K03406
AAJNHDNO_01242	K03406
AAJNHDNO_01243	K06915
AAJNHDNO_01244	K03406
AAJNHDNO_01245	K02651
AAJNHDNO_01246	K02279
AAJNHDNO_01247	K02280
AAJNHDNO_01248	K02282
AAJNHDNO_01249	K02283
AAJNHDNO_01250	K12510
AAJNHDNO_01251	K12511
AAJNHDNO_01252	0
AAJNHDNO_01253	0
AAJNHDNO_01254	0
AAJNHDNO_01255	0
AAJNHDNO_01256	K02278
AAJNHDNO_01257	0
AAJNHDNO_01258	0
AAJNHDNO_01259	K03306
AAJNHDNO_01260	0
AAJNHDNO_01261	K03406
AAJNHDNO_01262	K07240
AAJNHDNO_01263	0
AAJNHDNO_01264	0
AAJNHDNO_01265	0
AAJNHDNO_01266	K03583
AAJNHDNO_01267	K03582
AAJNHDNO_01268	K03581
AAJNHDNO_01269	K03546
AAJNHDNO_01270	K03547
AAJNHDNO_01276	K14162
AAJNHDNO_01277	K14161
AAJNHDNO_01278	K13053
AAJNHDNO_01279	K07215
AAJNHDNO_01280	0
AAJNHDNO_01281	0
AAJNHDNO_01282	K03088
AAJNHDNO_01283	0
AAJNHDNO_01284	K02459
AAJNHDNO_01285	K02457
AAJNHDNO_01286	K02452
AAJNHDNO_01287	K02456
AAJNHDNO_01288	K02456
AAJNHDNO_01289	K02460
AAJNHDNO_01290	K02461
AAJNHDNO_01291	K02462
AAJNHDNO_01292	K02453
AAJNHDNO_01293	K02454
AAJNHDNO_01294	K02455
AAJNHDNO_01295	0
AAJNHDNO_01296	0
AAJNHDNO_01297	K07487
AAJNHDNO_01298	0
AAJNHDNO_01299	K03561
AAJNHDNO_01300	K03559
AAJNHDNO_01301	0
AAJNHDNO_01302	0
AAJNHDNO_01303	0
AAJNHDNO_01304	0
AAJNHDNO_01305	K01802
AAJNHDNO_01306	0
AAJNHDNO_01307	0
AAJNHDNO_01308	0
AAJNHDNO_01309	0
AAJNHDNO_01310	K03762
AAJNHDNO_01311	K01426
AAJNHDNO_01312	K12987
AAJNHDNO_01313	K00638
AAJNHDNO_01315	0
AAJNHDNO_01316	K11530
AAJNHDNO_01317	K01759
AAJNHDNO_01318	K03824
AAJNHDNO_01319	K09982
AAJNHDNO_01320	0
AAJNHDNO_01322	0
AAJNHDNO_01323	0
AAJNHDNO_01324	0
AAJNHDNO_01326	K19170
AAJNHDNO_01327	0
AAJNHDNO_01328	0
AAJNHDNO_01329	0
AAJNHDNO_01330	0
AAJNHDNO_01332	0
AAJNHDNO_01333	0
AAJNHDNO_01334	0
AAJNHDNO_01335	0
AAJNHDNO_01336	0
AAJNHDNO_01337	K07497
AAJNHDNO_01338	0
AAJNHDNO_01339	0
AAJNHDNO_01340	0
AAJNHDNO_01341	0
AAJNHDNO_01342	0
AAJNHDNO_01343	0
AAJNHDNO_01344	0
AAJNHDNO_01345	0
AAJNHDNO_01346	0
AAJNHDNO_01347	0
AAJNHDNO_01348	0
AAJNHDNO_01349	K06903
AAJNHDNO_01350	0
AAJNHDNO_01351	0
AAJNHDNO_01352	0
AAJNHDNO_01353	0
AAJNHDNO_01354	0
AAJNHDNO_01355	0
AAJNHDNO_01356	0
AAJNHDNO_01357	0
AAJNHDNO_01358	0
AAJNHDNO_01359	0
AAJNHDNO_01360	0
AAJNHDNO_01361	0
AAJNHDNO_01362	0
AAJNHDNO_01363	0
AAJNHDNO_01365	0
AAJNHDNO_01367	K18100
AAJNHDNO_01368	0
AAJNHDNO_01369	0
AAJNHDNO_01370	K06183
AAJNHDNO_01371	0
AAJNHDNO_01372	0
AAJNHDNO_01373	0
AAJNHDNO_01374	0
AAJNHDNO_01376	K08993
AAJNHDNO_01378	0
AAJNHDNO_01379	0
AAJNHDNO_01380	K07118
AAJNHDNO_01381	0
AAJNHDNO_01382	K00020
AAJNHDNO_01383	0
AAJNHDNO_01384	0
AAJNHDNO_01385	K00248
AAJNHDNO_01386	K00140
AAJNHDNO_01387	K07506
AAJNHDNO_01388	K18346
AAJNHDNO_01389	K03648
AAJNHDNO_01390	K07120
AAJNHDNO_01391	K07793
AAJNHDNO_01392	K07794
AAJNHDNO_01393	K07795
AAJNHDNO_01394	K16140
AAJNHDNO_01395	K07774
AAJNHDNO_01396	K07649
AAJNHDNO_01397	K01915
AAJNHDNO_01398	K06980
AAJNHDNO_01399	K09159
AAJNHDNO_01400	K19168
AAJNHDNO_01401	K00278
AAJNHDNO_01402	K03088
AAJNHDNO_01403	K03597
AAJNHDNO_01404	K03598
AAJNHDNO_01405	K03803
AAJNHDNO_01406	K04771
AAJNHDNO_01407	K03596
AAJNHDNO_01408	K03100
AAJNHDNO_01409	0
AAJNHDNO_01410	K03685
AAJNHDNO_01411	K03595
AAJNHDNO_01412	K03584
AAJNHDNO_01413	K03474
AAJNHDNO_01414	K15257
AAJNHDNO_01415	K15256
AAJNHDNO_01416	0
AAJNHDNO_01417	K02030
AAJNHDNO_01418	K14475
AAJNHDNO_01419	K01338
AAJNHDNO_01420	0
AAJNHDNO_01421	K02014
AAJNHDNO_01422	K13821
AAJNHDNO_01423	K11928
AAJNHDNO_01424	K03566
AAJNHDNO_01425	K01118
AAJNHDNO_01426	K11741
AAJNHDNO_01427	0
AAJNHDNO_01428	0
AAJNHDNO_01429	0
AAJNHDNO_01430	K03293
AAJNHDNO_01431	K07090
AAJNHDNO_01432	0
AAJNHDNO_01433	K01720
AAJNHDNO_01434	K09788
AAJNHDNO_01435	K01681
AAJNHDNO_01436	K01659
AAJNHDNO_01437	K03417
AAJNHDNO_01438	0
AAJNHDNO_01439	0
AAJNHDNO_01440	K08282
AAJNHDNO_01441	0
AAJNHDNO_01442	0
AAJNHDNO_01443	0
AAJNHDNO_01444	0
AAJNHDNO_01445	0
AAJNHDNO_01446	0
AAJNHDNO_01447	0
AAJNHDNO_01448	K01447
AAJNHDNO_01449	0
AAJNHDNO_01450	K03322
AAJNHDNO_01451	K01560
AAJNHDNO_01452	0
AAJNHDNO_01453	0
AAJNHDNO_01454	0
AAJNHDNO_01455	0
AAJNHDNO_01456	K21645
AAJNHDNO_01457	0
AAJNHDNO_01458	K06991
AAJNHDNO_01460	K07451
AAJNHDNO_01461	0
AAJNHDNO_01462	0
AAJNHDNO_01463	0
AAJNHDNO_01464	0
AAJNHDNO_01466	K02238
AAJNHDNO_01467	0
AAJNHDNO_01468	K07497
AAJNHDNO_01469	0
AAJNHDNO_01470	0
AAJNHDNO_01471	0
AAJNHDNO_01472	0
AAJNHDNO_01473	0
AAJNHDNO_01474	0
AAJNHDNO_01475	K06946
AAJNHDNO_01477	0
AAJNHDNO_01478	0
AAJNHDNO_01479	0
AAJNHDNO_01480	0
AAJNHDNO_01481	0
AAJNHDNO_01482	0
AAJNHDNO_01483	0
AAJNHDNO_01484	0
AAJNHDNO_01485	0
AAJNHDNO_01486	0
AAJNHDNO_01487	0
AAJNHDNO_01488	0
AAJNHDNO_01489	0
AAJNHDNO_01490	0
AAJNHDNO_01491	0
AAJNHDNO_01492	0
AAJNHDNO_01493	K06877
AAJNHDNO_01494	0
AAJNHDNO_01495	0
AAJNHDNO_01496	0
AAJNHDNO_01497	0
AAJNHDNO_01498	0
AAJNHDNO_01499	0
AAJNHDNO_01500	0
AAJNHDNO_01501	0
AAJNHDNO_01502	K15735
AAJNHDNO_01504	0
AAJNHDNO_01507	0
AAJNHDNO_01508	0
AAJNHDNO_01510	0
AAJNHDNO_01511	0
AAJNHDNO_01512	0
AAJNHDNO_01513	K07044
AAJNHDNO_01514	0
AAJNHDNO_01515	K01069
AAJNHDNO_01516	K12216
AAJNHDNO_01517	0
AAJNHDNO_01518	K13788
AAJNHDNO_01519	K00925
AAJNHDNO_01520	K03775
AAJNHDNO_01521	K00432
AAJNHDNO_01522	K16137
AAJNHDNO_01523	0
AAJNHDNO_01524	0
AAJNHDNO_01525	0
AAJNHDNO_01527	K01114
AAJNHDNO_01528	K12349
AAJNHDNO_01529	K06203
AAJNHDNO_01530	0
AAJNHDNO_01531	K03386
AAJNHDNO_01532	K00384
AAJNHDNO_01533	0
AAJNHDNO_01534	K01754
AAJNHDNO_01535	K03933
AAJNHDNO_01536	0
AAJNHDNO_01537	K01679
AAJNHDNO_01538	0
AAJNHDNO_01539	K09924
AAJNHDNO_01540	K05527
AAJNHDNO_01541	K07146
AAJNHDNO_01542	K07396
AAJNHDNO_01543	K06147
AAJNHDNO_01544	0
AAJNHDNO_01545	0
AAJNHDNO_01546	0
AAJNHDNO_01547	0
AAJNHDNO_01548	0
AAJNHDNO_01549	K00457
AAJNHDNO_01550	K03293
AAJNHDNO_01551	0
AAJNHDNO_01552	K15034
AAJNHDNO_01553	K07262
AAJNHDNO_01554	K00813
AAJNHDNO_01555	K01724
AAJNHDNO_01556	K00500
AAJNHDNO_01557	K03721
AAJNHDNO_01558	0
AAJNHDNO_01559	0
AAJNHDNO_01560	0
AAJNHDNO_01561	0
AAJNHDNO_01562	K09709
AAJNHDNO_01563	K00249
AAJNHDNO_01564	0
AAJNHDNO_01565	0
AAJNHDNO_01566	K18289
AAJNHDNO_01567	K01644
AAJNHDNO_01568	K11688
AAJNHDNO_01569	K11689
AAJNHDNO_01570	K11690
AAJNHDNO_01571	K01895
AAJNHDNO_01572	K02030
AAJNHDNO_01573	K02029
AAJNHDNO_01574	K10015
AAJNHDNO_01575	K06987
AAJNHDNO_01576	K10025
AAJNHDNO_01577	K21825
AAJNHDNO_01578	0
AAJNHDNO_01579	K00821
AAJNHDNO_01580	K00673
AAJNHDNO_01581	K00673
AAJNHDNO_01582	K06447
AAJNHDNO_01583	K01484
AAJNHDNO_01584	0
AAJNHDNO_01585	K05526
AAJNHDNO_01586	K01620
AAJNHDNO_01587	K01872
AAJNHDNO_01588	K00928
AAJNHDNO_01589	K03563
AAJNHDNO_01593	0
AAJNHDNO_01594	0
AAJNHDNO_01595	0
AAJNHDNO_01596	0
AAJNHDNO_01597	0
AAJNHDNO_01598	0
AAJNHDNO_01599	0
AAJNHDNO_01600	K06213
AAJNHDNO_01601	0
AAJNHDNO_01602	0
AAJNHDNO_01603	K14441
AAJNHDNO_01604	K03549
AAJNHDNO_01605	K12262
AAJNHDNO_01606	0
AAJNHDNO_01607	K14205
AAJNHDNO_01609	0
AAJNHDNO_01611	K02346
AAJNHDNO_01612	K07014
AAJNHDNO_01613	K03668
AAJNHDNO_01614	0
AAJNHDNO_01615	K03778
AAJNHDNO_01616	K07678
AAJNHDNO_01617	K19610
AAJNHDNO_01618	K19609
AAJNHDNO_01619	K16089
AAJNHDNO_01620	K12339
AAJNHDNO_01621	K03215
AAJNHDNO_01622	K00951
AAJNHDNO_01623	K04765
AAJNHDNO_01624	K12979
AAJNHDNO_01625	K09912
AAJNHDNO_01626	0
AAJNHDNO_01627	0
AAJNHDNO_01628	K19000
AAJNHDNO_01629	0
AAJNHDNO_01630	0
AAJNHDNO_01631	0
AAJNHDNO_01632	0
AAJNHDNO_01633	K11175
AAJNHDNO_01634	K01933
AAJNHDNO_01635	K09938
AAJNHDNO_01636	K10763
AAJNHDNO_01637	0
AAJNHDNO_01638	K03809
AAJNHDNO_01639	K00537
AAJNHDNO_01640	K07058
AAJNHDNO_01641	0
AAJNHDNO_01642	0
AAJNHDNO_01643	0
AAJNHDNO_01644	K01512
AAJNHDNO_01645	0
AAJNHDNO_01646	K01881
AAJNHDNO_01647	0
AAJNHDNO_01648	K18093
AAJNHDNO_01649	0
AAJNHDNO_01650	K03745
AAJNHDNO_01651	K03704
AAJNHDNO_01652	K04047
AAJNHDNO_01653	K01876
AAJNHDNO_01654	0
AAJNHDNO_01655	K01159
AAJNHDNO_01656	K03550
AAJNHDNO_01657	K03551
AAJNHDNO_01658	K01075
AAJNHDNO_01659	K03562
AAJNHDNO_01660	K03560
AAJNHDNO_01661	K03646
AAJNHDNO_01662	K03641
AAJNHDNO_01663	K03640
AAJNHDNO_01664	0
AAJNHDNO_01665	K10026
AAJNHDNO_01666	K06920
AAJNHDNO_01668	0
AAJNHDNO_01669	0
AAJNHDNO_01671	0
AAJNHDNO_01672	0
AAJNHDNO_01673	0
AAJNHDNO_01674	0
AAJNHDNO_01675	0
AAJNHDNO_01676	0
AAJNHDNO_01677	0
AAJNHDNO_01678	K07459
AAJNHDNO_01679	0
AAJNHDNO_01680	0
AAJNHDNO_01681	0
AAJNHDNO_01682	0
AAJNHDNO_01684	K07497
AAJNHDNO_01685	K07483
AAJNHDNO_01686	K19092
AAJNHDNO_01687	K07746
AAJNHDNO_01688	0
AAJNHDNO_01689	0
AAJNHDNO_01690	0
AAJNHDNO_01691	0
AAJNHDNO_01692	0
AAJNHDNO_01693	K03781
AAJNHDNO_01694	0
AAJNHDNO_01695	0
AAJNHDNO_01696	K00799
AAJNHDNO_01697	K06911
AAJNHDNO_01698	0
AAJNHDNO_01699	K03543
AAJNHDNO_01700	0
AAJNHDNO_01701	0
AAJNHDNO_01702	K07483
AAJNHDNO_01703	K07497
AAJNHDNO_01704	K07497
AAJNHDNO_01705	K10680
AAJNHDNO_01706	K03566
AAJNHDNO_01707	0
AAJNHDNO_01708	0
AAJNHDNO_01709	0
AAJNHDNO_01710	0
AAJNHDNO_01711	0
AAJNHDNO_01712	0
AAJNHDNO_01713	0
AAJNHDNO_01714	0
AAJNHDNO_01715	0
AAJNHDNO_01716	0
AAJNHDNO_01717	0
AAJNHDNO_01718	0
AAJNHDNO_01719	0
AAJNHDNO_01720	0
AAJNHDNO_01721	K12071
AAJNHDNO_01723	0
AAJNHDNO_01724	0
AAJNHDNO_01725	0
AAJNHDNO_01726	0
AAJNHDNO_01727	K11004
AAJNHDNO_01728	K11003
AAJNHDNO_01729	0
AAJNHDNO_01730	0
AAJNHDNO_01731	K01406
AAJNHDNO_01732	K03169
AAJNHDNO_01733	0
AAJNHDNO_01734	0
AAJNHDNO_01735	0
AAJNHDNO_01736	0
AAJNHDNO_01737	0
AAJNHDNO_01738	0
AAJNHDNO_01739	0
AAJNHDNO_01740	0
AAJNHDNO_01742	0
AAJNHDNO_01745	0
AAJNHDNO_01746	0
AAJNHDNO_01747	0
AAJNHDNO_01748	0
AAJNHDNO_01749	0
AAJNHDNO_01750	K10934
AAJNHDNO_01751	0
AAJNHDNO_01752	0
AAJNHDNO_01753	0
AAJNHDNO_01754	0
AAJNHDNO_01755	K02487
AAJNHDNO_01756	0
AAJNHDNO_01757	0
AAJNHDNO_01758	0
AAJNHDNO_01759	0
AAJNHDNO_01760	K03168
AAJNHDNO_01761	K18828
AAJNHDNO_01764	K03111
AAJNHDNO_01765	0
AAJNHDNO_01766	0
AAJNHDNO_01768	0
AAJNHDNO_01769	0
AAJNHDNO_01770	0
AAJNHDNO_01771	0
AAJNHDNO_01772	K06899
AAJNHDNO_01773	0
AAJNHDNO_01776	0
AAJNHDNO_01780	K02314
AAJNHDNO_01781	0
AAJNHDNO_01782	0
AAJNHDNO_01783	0
AAJNHDNO_01784	0
AAJNHDNO_01785	0
AAJNHDNO_01787	0
AAJNHDNO_01788	K12055
AAJNHDNO_01789	K07497
AAJNHDNO_01790	K07483
AAJNHDNO_01791	0
AAJNHDNO_01792	0
AAJNHDNO_01793	K07497
AAJNHDNO_01794	0
AAJNHDNO_01795	K07497
AAJNHDNO_01796	K15477
AAJNHDNO_01797	0
AAJNHDNO_01798	0
AAJNHDNO_01799	0
AAJNHDNO_01800	K03574
AAJNHDNO_01802	0
AAJNHDNO_01803	0
AAJNHDNO_01804	K07347
AAJNHDNO_01805	K00567
AAJNHDNO_01806	K01895
AAJNHDNO_01807	K18001
AAJNHDNO_01808	K18002
AAJNHDNO_01809	K18003
AAJNHDNO_01810	K20257
AAJNHDNO_01811	K01657
AAJNHDNO_01812	K01658
AAJNHDNO_01813	K19735
AAJNHDNO_01814	K03517
AAJNHDNO_01815	0
AAJNHDNO_01816	K04085
AAJNHDNO_01817	K03548
AAJNHDNO_01818	K03564
AAJNHDNO_01819	K03567
AAJNHDNO_01820	K01714
AAJNHDNO_01821	K07287
AAJNHDNO_01822	0
AAJNHDNO_01823	K01923
AAJNHDNO_01825	K12987
AAJNHDNO_01826	0
AAJNHDNO_01827	K07068
AAJNHDNO_01828	0
AAJNHDNO_01829	0
AAJNHDNO_01830	0
AAJNHDNO_01831	K08196
AAJNHDNO_01832	0
AAJNHDNO_01833	0
AAJNHDNO_01834	0
AAJNHDNO_01835	0
AAJNHDNO_01836	0
AAJNHDNO_01837	K00459
AAJNHDNO_01838	K18093
AAJNHDNO_01839	0
AAJNHDNO_01840	0
AAJNHDNO_01841	K00128
AAJNHDNO_01842	0
AAJNHDNO_01843	0
AAJNHDNO_01844	0
AAJNHDNO_01845	K09760
AAJNHDNO_01846	K01434
AAJNHDNO_01847	K11209
AAJNHDNO_01848	0
AAJNHDNO_01849	0
AAJNHDNO_01850	0
AAJNHDNO_01851	0
AAJNHDNO_01852	0
AAJNHDNO_01853	K09858
AAJNHDNO_01854	0
AAJNHDNO_01855	K03286
AAJNHDNO_01856	K08993
AAJNHDNO_01857	0
AAJNHDNO_01858	0
AAJNHDNO_01859	K03722
AAJNHDNO_01860	K01219
AAJNHDNO_01861	0
AAJNHDNO_01862	0
AAJNHDNO_01863	K00275
AAJNHDNO_01864	K02647
AAJNHDNO_01865	K03299
AAJNHDNO_01866	K00865
AAJNHDNO_01867	0
AAJNHDNO_01868	K06077
AAJNHDNO_01869	K00341
AAJNHDNO_01870	K00340
AAJNHDNO_01871	K00342
AAJNHDNO_01872	K05562
AAJNHDNO_01873	K05563
AAJNHDNO_01874	K05564
AAJNHDNO_01875	0
AAJNHDNO_01876	K01738
AAJNHDNO_01877	0
AAJNHDNO_01878	0
AAJNHDNO_01879	K08985
AAJNHDNO_01880	0
AAJNHDNO_01881	0
AAJNHDNO_01882	0
AAJNHDNO_01883	K04079
AAJNHDNO_01884	0
AAJNHDNO_01885	K01996
AAJNHDNO_01886	K01995
AAJNHDNO_01887	K01998
AAJNHDNO_01888	K01997
AAJNHDNO_01889	K01999
AAJNHDNO_01890	0
AAJNHDNO_01891	0
AAJNHDNO_01892	K02387
AAJNHDNO_01893	K02388
AAJNHDNO_01894	K02389
AAJNHDNO_01895	K02390
AAJNHDNO_01896	K02391
AAJNHDNO_01897	K02392
AAJNHDNO_01898	K02393
AAJNHDNO_01899	K02394
AAJNHDNO_01900	K02395
AAJNHDNO_01901	K02396
AAJNHDNO_01902	K02397
AAJNHDNO_01903	0
AAJNHDNO_01904	K01079
AAJNHDNO_01905	0
AAJNHDNO_01906	K20444
AAJNHDNO_01907	K02406
AAJNHDNO_01908	K06603
AAJNHDNO_01909	K02407
AAJNHDNO_01910	K02422
AAJNHDNO_01911	0
AAJNHDNO_01912	K10941
AAJNHDNO_01913	K10942
AAJNHDNO_01914	K10943
AAJNHDNO_01915	K02408
AAJNHDNO_01916	K02409
AAJNHDNO_01917	K02410
AAJNHDNO_01918	K02411
AAJNHDNO_01919	K02412
AAJNHDNO_01920	K02413
AAJNHDNO_01921	0
AAJNHDNO_01922	K21022
AAJNHDNO_01923	0
AAJNHDNO_01924	0
AAJNHDNO_01925	K06182
AAJNHDNO_01926	0
AAJNHDNO_01927	K21430
AAJNHDNO_01928	0
AAJNHDNO_01929	0
AAJNHDNO_01930	K06147
AAJNHDNO_01931	0
AAJNHDNO_01932	0
AAJNHDNO_01933	K00243
AAJNHDNO_01934	0
AAJNHDNO_01935	0
AAJNHDNO_01936	0
AAJNHDNO_01937	K21021
AAJNHDNO_01938	0
AAJNHDNO_01939	K01462
AAJNHDNO_01940	0
AAJNHDNO_01941	K01129
AAJNHDNO_01942	K12410
AAJNHDNO_01943	0
AAJNHDNO_01944	K05275
AAJNHDNO_01945	0
AAJNHDNO_01946	K21253
AAJNHDNO_01947	K12990
AAJNHDNO_01948	K08151
AAJNHDNO_01949	0
AAJNHDNO_01950	0
AAJNHDNO_01951	0
AAJNHDNO_01952	K05523
AAJNHDNO_01953	K07782
AAJNHDNO_01954	K00344
AAJNHDNO_01955	0
