locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKJFLGDP_00404	CDS	255				hypothetical protein
JKJFLGDP_00405	tRNA	72				tRNA-Gly(gcc)
JKJFLGDP_00406	CDS	900	trxB	1.8.1.9	COG0492	Thioredoxin reductase
JKJFLGDP_00407	CDS	960				hypothetical protein
JKJFLGDP_00408	CDS	864				hypothetical protein
JKJFLGDP_00409	CDS	165				hypothetical protein
JKJFLGDP_00410	CDS	1137				hypothetical protein
JKJFLGDP_00411	CDS	273				hypothetical protein
JKJFLGDP_00412	CDS	615				hypothetical protein
JKJFLGDP_00413	CDS	408			COG0864	Putative nickel-responsive regulator
JKJFLGDP_00414	CDS	681				hypothetical protein
JKJFLGDP_00415	CDS	765				hypothetical protein
JKJFLGDP_00416	CDS	243				hypothetical protein
JKJFLGDP_00417	CDS	1332				hypothetical protein
JKJFLGDP_00418	CDS	414				hypothetical protein
JKJFLGDP_00419	CDS	300				hypothetical protein
JKJFLGDP_00420	CDS	1290	bzaF_1	4.1.99.23	COG0422	5-hydroxybenzimidazole synthase
JKJFLGDP_00421	CDS	639	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
JKJFLGDP_00422	CDS	1149	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde transaminase
JKJFLGDP_00423	CDS	1056	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
JKJFLGDP_00424	CDS	540				hypothetical protein
JKJFLGDP_00425	CDS	318				hypothetical protein
JKJFLGDP_00426	CDS	621				hypothetical protein
JKJFLGDP_00427	CDS	774				hypothetical protein
JKJFLGDP_00428	CDS	3381				hypothetical protein
JKJFLGDP_00429	CDS	1284				hypothetical protein
JKJFLGDP_00430	CDS	582				hypothetical protein
JKJFLGDP_00431	CDS	1464				hypothetical protein
JKJFLGDP_00432	tRNA	86				tRNA-Leu(tag)
JKJFLGDP_00433	CDS	927	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
JKJFLGDP_00434	CDS	387				hypothetical protein
JKJFLGDP_00435	CDS	1254				hypothetical protein
JKJFLGDP_00436	CDS	462	rsxB_3	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JKJFLGDP_00437	CDS	1743				hypothetical protein
JKJFLGDP_00438	CDS	2361				hypothetical protein
JKJFLGDP_00439	CDS	297				hypothetical protein
JKJFLGDP_00440	CDS	402				hypothetical protein
JKJFLGDP_00441	CDS	225				hypothetical protein
JKJFLGDP_00442	CDS	228	nfuA			Fe/S biogenesis protein NfuA
JKJFLGDP_00443	CDS	351				hypothetical protein
JKJFLGDP_00444	CDS	480				hypothetical protein
JKJFLGDP_00445	CDS	765	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
JKJFLGDP_00446	CDS	588	mobA_1	2.7.7.77		Molybdenum cofactor guanylyltransferase
JKJFLGDP_00447	CDS	363				hypothetical protein
JKJFLGDP_00448	CDS	465				hypothetical protein
JKJFLGDP_00449	CDS	1149				hypothetical protein
JKJFLGDP_00450	CDS	1044			COG3039	IS5 family transposase ISArch21
JKJFLGDP_00451	CDS	588				hypothetical protein
JKJFLGDP_00452	CDS	324				hypothetical protein
JKJFLGDP_00453	CDS	3456				hypothetical protein
JKJFLGDP_00454	CDS	1338	ffh		COG0541	Signal recognition particle protein
JKJFLGDP_00455	CDS	666				hypothetical protein
JKJFLGDP_00456	CDS	606				hypothetical protein
JKJFLGDP_00457	CDS	2118				hypothetical protein
JKJFLGDP_00458	CDS	744				hypothetical protein
JKJFLGDP_00459	CDS	396				hypothetical protein
JKJFLGDP_00460	CDS	1452				hypothetical protein
JKJFLGDP_00461	CDS	855				hypothetical protein
JKJFLGDP_00462	CDS	369				hypothetical protein
JKJFLGDP_00463	CDS	213				hypothetical protein
JKJFLGDP_00464	CDS	171				hypothetical protein
JKJFLGDP_00465	CDS	432	ndk	2.7.4.6		Nucleoside diphosphate kinase
JKJFLGDP_00466	CDS	1809	infB			Translation initiation factor IF-2
JKJFLGDP_00467	CDS	588	mneA			Putative manganese exporter
JKJFLGDP_00468	CDS	195	cspLA		COG1278	Cold shock-like protein CspLA
JKJFLGDP_00469	CDS	1668	groL_1			60 kDa chaperonin
JKJFLGDP_00470	CDS	786				hypothetical protein
JKJFLGDP_00471	CDS	588	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
JKJFLGDP_00472	CDS	945	obg_1	3.6.5.-		GTPase Obg
JKJFLGDP_00473	CDS	276				hypothetical protein
JKJFLGDP_00474	CDS	1014				hypothetical protein
JKJFLGDP_00475	CDS	195				hypothetical protein
JKJFLGDP_00476	CDS	261				hypothetical protein
JKJFLGDP_00477	CDS	522				hypothetical protein
JKJFLGDP_00478	CDS	1140				hypothetical protein
JKJFLGDP_00479	CDS	573				hypothetical protein
JKJFLGDP_00480	CDS	1026	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
JKJFLGDP_00481	CDS	636	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
JKJFLGDP_00482	CDS	1404	cysG_1	4.99.1.4		Siroheme synthase
JKJFLGDP_00483	CDS	768	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
JKJFLGDP_00484	CDS	711	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
JKJFLGDP_00485	CDS	609				hypothetical protein
JKJFLGDP_00486	CDS	513				hypothetical protein
JKJFLGDP_00487	CDS	921				hypothetical protein
JKJFLGDP_00488	CDS	1014	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
JKJFLGDP_00489	CDS	774				hypothetical protein
JKJFLGDP_00490	CDS	171				hypothetical protein
JKJFLGDP_00491	CDS	1233				hypothetical protein
JKJFLGDP_00492	CDS	243				hypothetical protein
JKJFLGDP_00493	CDS	1401	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JKJFLGDP_00494	CDS	408			COG0864	Putative nickel-responsive regulator
JKJFLGDP_00495	CDS	825	tagH	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
JKJFLGDP_00496	CDS	762	tagG		COG1682	Teichoic acid translocation permease protein TagG
JKJFLGDP_00497	CDS	945				hypothetical protein
JKJFLGDP_00498	CDS	1101	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
JKJFLGDP_00499	CDS	900	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
JKJFLGDP_00500	CDS	1461	argH	4.3.2.1		Argininosuccinate lyase
JKJFLGDP_00501	CDS	1170	argJ			Arginine biosynthesis bifunctional protein ArgJ
JKJFLGDP_00502	CDS	483	IMPDH_6	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00503	CDS	1026	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
JKJFLGDP_00504	CDS	963	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
JKJFLGDP_00505	CDS	1176	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
JKJFLGDP_00506	CDS	633				hypothetical protein
JKJFLGDP_00507	CDS	798				hypothetical protein
JKJFLGDP_00508	CDS	348				hypothetical protein
JKJFLGDP_00509	CDS	429				hypothetical protein
JKJFLGDP_00510	tRNA	74				tRNA-Ile(gat)
JKJFLGDP_00511	CDS	2793				hypothetical protein
JKJFLGDP_00512	CDS	717	crnA	3.5.2.10		Creatinine amidohydrolase
JKJFLGDP_00513	CDS	870				hypothetical protein
JKJFLGDP_00514	CDS	339				hypothetical protein
JKJFLGDP_00515	CDS	855	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
JKJFLGDP_00516	CDS	1335				hypothetical protein
JKJFLGDP_00517	CDS	771				hypothetical protein
JKJFLGDP_00518	CDS	162				hypothetical protein
JKJFLGDP_00519	CDS	774	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
JKJFLGDP_00520	CDS	168				hypothetical protein
JKJFLGDP_00521	CDS	276				hypothetical protein
JKJFLGDP_00522	CDS	567				hypothetical protein
JKJFLGDP_00523	CDS	1077				hypothetical protein
JKJFLGDP_00524	CDS	150				hypothetical protein
JKJFLGDP_00525	CDS	594	yafV	3.5.1.3		Omega-amidase YafV
JKJFLGDP_00526	CDS	516				hypothetical protein
JKJFLGDP_00527	CDS	1092				IS1634 family transposase ISMth2
JKJFLGDP_00528	CDS	1449				hypothetical protein
JKJFLGDP_00529	CDS	834				hypothetical protein
JKJFLGDP_00530	CDS	384				hypothetical protein
JKJFLGDP_00531	CDS	210				hypothetical protein
JKJFLGDP_00532	CDS	270				IS21 family transposase ISKol1
JKJFLGDP_00533	CDS	549				hypothetical protein
JKJFLGDP_00534	CDS	423				hypothetical protein
JKJFLGDP_00535	CDS	933				hypothetical protein
JKJFLGDP_00536	CDS	372				hypothetical protein
JKJFLGDP_00537	CDS	168				hypothetical protein
JKJFLGDP_00538	CDS	264				hypothetical protein
JKJFLGDP_00539	CDS	1029				hypothetical protein
JKJFLGDP_00540	CDS	540	rbr2	1.11.1.1	COG1592	Rubrerythrin-2
JKJFLGDP_00541	CDS	570				hypothetical protein
JKJFLGDP_00542	CDS	207				hypothetical protein
JKJFLGDP_00543	CDS	690	thyA	2.1.1.45		Thymidylate synthase
JKJFLGDP_00544	CDS	1014				hypothetical protein
JKJFLGDP_00545	CDS	513				hypothetical protein
JKJFLGDP_00546	CDS	2328				hypothetical protein
JKJFLGDP_00547	CDS	555				hypothetical protein
JKJFLGDP_00548	CDS	828				hypothetical protein
JKJFLGDP_00549	CDS	693				hypothetical protein
JKJFLGDP_00550	CDS	264				hypothetical protein
JKJFLGDP_00551	tRNA	74				tRNA-Arg(ccg)
JKJFLGDP_00552	CDS	267	rpsJ			30S ribosomal protein S10
JKJFLGDP_00553	CDS	1275	tuf_1		COG0050	Elongation factor Tu
JKJFLGDP_00554	CDS	2196	fusA		COG0480	Elongation factor G
JKJFLGDP_00555	CDS	1395	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
JKJFLGDP_00556	CDS	996	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
JKJFLGDP_00557	CDS	762				Iron-sulfur cluster carrier protein
JKJFLGDP_00558	CDS	2031	nrdZ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleoside-diphosphate reductase
JKJFLGDP_00559	CDS	711				hypothetical protein
JKJFLGDP_00560	CDS	231				hypothetical protein
JKJFLGDP_00561	CDS	618				hypothetical protein
JKJFLGDP_00562	CDS	285				hypothetical protein
JKJFLGDP_00563	CDS	1095				hypothetical protein
JKJFLGDP_00564	CDS	612				hypothetical protein
JKJFLGDP_00565	CDS	1365				hypothetical protein
JKJFLGDP_00566	CDS	1671	apc1	6.4.1.8	COG0145	Acetophenone carboxylase alpha subunit
JKJFLGDP_00567	CDS	570				hypothetical protein
JKJFLGDP_00568	CDS	231				hypothetical protein
JKJFLGDP_00569	CDS	273				hypothetical protein
JKJFLGDP_00570	CDS	1305	aspS2	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
JKJFLGDP_00571	CDS	639	kaiC_1	2.7.11.1		Circadian clock protein kinase KaiC
JKJFLGDP_00572	CDS	207				hypothetical protein
JKJFLGDP_00573	CDS	3222				hypothetical protein
JKJFLGDP_00574	CDS	810	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
JKJFLGDP_00575	CDS	1017			COG0609	putative ABC transporter permease protein
JKJFLGDP_00576	CDS	1053				hypothetical protein
JKJFLGDP_00577	CDS	897				hypothetical protein
JKJFLGDP_00578	CDS	843				hypothetical protein
JKJFLGDP_00579	CDS	321				hypothetical protein
JKJFLGDP_00580	CDS	384				hypothetical protein
JKJFLGDP_00581	CDS	492				hypothetical protein
JKJFLGDP_00582	CDS	2571				hypothetical protein
JKJFLGDP_00583	CDS	1080				hypothetical protein
JKJFLGDP_00584	CDS	738		2.1.1.-	COG0565	putative tRNA/rRNA methyltransferase
JKJFLGDP_00585	CDS	1425	rtcB	6.5.1.-		RNA-splicing ligase RtcB
JKJFLGDP_00586	CDS	435				Protein archease
JKJFLGDP_00587	CDS	1134				hypothetical protein
JKJFLGDP_00588	CDS	1110	cpoB_1			Cell division coordinator CpoB
JKJFLGDP_00589	CDS	183				hypothetical protein
JKJFLGDP_00590	CDS	1797	cpoB_2			Cell division coordinator CpoB
JKJFLGDP_00591	CDS	270				hypothetical protein
JKJFLGDP_00592	CDS	192				hypothetical protein
JKJFLGDP_00593	CDS	270				hypothetical protein
JKJFLGDP_00594	CDS	267				hypothetical protein
JKJFLGDP_00595	CDS	966	ycf3_2			Photosystem I assembly protein Ycf3
JKJFLGDP_00596	CDS	165				hypothetical protein
JKJFLGDP_00597	CDS	330				hypothetical protein
JKJFLGDP_00598	CDS	126				hypothetical protein
JKJFLGDP_00599	CDS	264				hypothetical protein
JKJFLGDP_00600	CDS	258				hypothetical protein
JKJFLGDP_00601	CDS	786				hypothetical protein
JKJFLGDP_00602	CDS	234				hypothetical protein
JKJFLGDP_00603	CDS	1863	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
JKJFLGDP_00604	CDS	810	purQ_1	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
JKJFLGDP_00605	CDS	474	purS_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
JKJFLGDP_00606	CDS	906	cyoE_1	2.5.1.141		Protoheme IX farnesyltransferase
JKJFLGDP_00607	CDS	615	trmY_1	2.1.1.257		tRNA (pseudouridine(54)-N(1))-methyltransferase
JKJFLGDP_00608	CDS	1257				hypothetical protein
JKJFLGDP_00609	CDS	639	gph	3.1.3.18		Phosphoglycolate phosphatase
JKJFLGDP_00610	CDS	300				hypothetical protein
JKJFLGDP_00611	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_00612	CDS	2523	rsxB_4	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JKJFLGDP_00613	CDS	333	ndhI_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JKJFLGDP_00614	CDS	1107	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JKJFLGDP_00615	CDS	531				hypothetical protein
JKJFLGDP_00616	CDS	846	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
JKJFLGDP_00617	CDS	369				hypothetical protein
JKJFLGDP_00618	CDS	729				hypothetical protein
JKJFLGDP_00619	CDS	1317	tldD	3.4.-.-	COG0312	Metalloprotease TldD
JKJFLGDP_00620	CDS	1905	lon	3.4.21.53		Lon protease
JKJFLGDP_00621	CDS	2316	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
JKJFLGDP_00622	CDS	633				hypothetical protein
JKJFLGDP_00623	CDS	249				hypothetical protein
JKJFLGDP_00624	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_00625	CDS	111				hypothetical protein
JKJFLGDP_00626	CDS	1155	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
JKJFLGDP_00627	CDS	2289	ppsA	2.7.9.2		Phosphoenolpyruvate synthase
JKJFLGDP_00628	CDS	1137		4.1.1.105		Tryptophan decarboxylase
JKJFLGDP_00629	CDS	630				hypothetical protein
JKJFLGDP_00630	CDS	5457				hypothetical protein
JKJFLGDP_00631	CDS	1158				hypothetical protein
JKJFLGDP_00632	CDS	1269				hypothetical protein
JKJFLGDP_00633	CDS	471				hypothetical protein
JKJFLGDP_00634	CDS	1599				hypothetical protein
JKJFLGDP_00635	CDS	1263	corA		COG0598	Cobalt/magnesium transport protein CorA
JKJFLGDP_00636	CDS	933	mscS_1		COG0668	Small-conductance mechanosensitive channel
JKJFLGDP_00637	CDS	570	engB			GTP-binding protein EngB
JKJFLGDP_00638	CDS	717				hypothetical protein
JKJFLGDP_00639	CDS	1044				hypothetical protein
JKJFLGDP_00640	CDS	1245	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
JKJFLGDP_00641	CDS	1506				hypothetical protein
JKJFLGDP_00642	CDS	1827	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
JKJFLGDP_00643	CDS	2469				hypothetical protein
JKJFLGDP_00644	CDS	1329				hypothetical protein
JKJFLGDP_00645	CDS	2226	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
JKJFLGDP_00646	CDS	3024	addA	3.6.4.12		ATP-dependent helicase/nuclease subunit A
JKJFLGDP_00647	CDS	2895	addB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
JKJFLGDP_00648	CDS	339				hypothetical protein
JKJFLGDP_00649	CDS	2355				hypothetical protein
JKJFLGDP_00650	CDS	1161				IS66 family transposase ISMbu12
JKJFLGDP_00651	CDS	237				IS66 family transposase ISArch14
JKJFLGDP_00652	CDS	237				IS66 family transposase ISArch14
JKJFLGDP_00653	CDS	231				hypothetical protein
JKJFLGDP_00654	CDS	1356				hypothetical protein
JKJFLGDP_00655	CDS	291				hypothetical protein
JKJFLGDP_00656	CDS	345				hypothetical protein
JKJFLGDP_00657	CDS	582				hypothetical protein
JKJFLGDP_00658	CDS	741	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
JKJFLGDP_00659	CDS	1644				hypothetical protein
JKJFLGDP_00660	CDS	729				hypothetical protein
JKJFLGDP_00661	CDS	522				hypothetical protein
JKJFLGDP_00662	CDS	1221				ISL3 family transposase ISMac21
JKJFLGDP_00663	CDS	258				hypothetical protein
JKJFLGDP_00664	CDS	429	fom3	2.1.1.308		2-hydroxyethylphosphonate methyltransferase
JKJFLGDP_00665	CDS	330				hypothetical protein
JKJFLGDP_00666	CDS	951	galE1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
JKJFLGDP_00667	CDS	1032				hypothetical protein
JKJFLGDP_00668	CDS	810	griI_1	4.1.2.56	COG1830	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase
JKJFLGDP_00669	CDS	1893	polX_1		COG1387	DNA polymerase/3'-5' exonuclease PolX
JKJFLGDP_00670	CDS	183				hypothetical protein
JKJFLGDP_00671	CDS	2346				hypothetical protein
JKJFLGDP_00672	CDS	630				hypothetical protein
JKJFLGDP_00673	CDS	3168				hypothetical protein
JKJFLGDP_00674	CDS	339				hypothetical protein
JKJFLGDP_00675	CDS	1638				hypothetical protein
JKJFLGDP_00676	CDS	1122				hypothetical protein
JKJFLGDP_00677	CDS	1332				hypothetical protein
JKJFLGDP_00678	CDS	1944				hypothetical protein
JKJFLGDP_00679	CDS	204				hypothetical protein
JKJFLGDP_00680	CDS	243				hypothetical protein
JKJFLGDP_00681	CDS	198				hypothetical protein
JKJFLGDP_00682	CDS	129				hypothetical protein
JKJFLGDP_00683	CDS	753				hypothetical protein
JKJFLGDP_00684	CDS	159				hypothetical protein
JKJFLGDP_00685	CDS	735	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
JKJFLGDP_00686	CDS	564	groL1		COG0459	60 kDa chaperonin 1
JKJFLGDP_00687	CDS	885	groL_2		COG0459	60 kDa chaperonin
JKJFLGDP_00688	CDS	186				hypothetical protein
JKJFLGDP_00689	CDS	1395				hypothetical protein
JKJFLGDP_00690	CDS	222				hypothetical protein
JKJFLGDP_00691	CDS	216				hypothetical protein
JKJFLGDP_00692	CDS	297				hypothetical protein
JKJFLGDP_00693	CDS	582				hypothetical protein
JKJFLGDP_00694	CDS	330				hypothetical protein
JKJFLGDP_00695	CDS	984	rnr_1	3.1.13.1	COG0557	Ribonuclease R
JKJFLGDP_00696	CDS	444	rnr_2	3.1.13.1		Ribonuclease R
JKJFLGDP_00697	CDS	540				hypothetical protein
JKJFLGDP_00698	CDS	267				hypothetical protein
JKJFLGDP_00699	CDS	525	cyn1	4.2.1.104		Cyanate hydratase
JKJFLGDP_00700	CDS	429				hypothetical protein
JKJFLGDP_00701	CDS	444				hypothetical protein
JKJFLGDP_00702	CDS	702	dcd_1	3.5.4.13		dCTP deaminase, dUMP-forming
JKJFLGDP_00703	CDS	1068				hypothetical protein
JKJFLGDP_00704	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_00705	CDS	2892				hypothetical protein
JKJFLGDP_00706	CDS	96				hypothetical protein
JKJFLGDP_00707	CDS	453				hypothetical protein
JKJFLGDP_00708	CDS	972				hypothetical protein
JKJFLGDP_00709	CDS	999	mscS_2		COG0668	Small-conductance mechanosensitive channel
JKJFLGDP_00710	CDS	789	fpuC	7.2.2.-	COG1120	Petrobactin import ATP-binding protein FpuC
JKJFLGDP_00711	CDS	1230				hypothetical protein
JKJFLGDP_00712	CDS	138				hypothetical protein
JKJFLGDP_00713	CDS	294				hypothetical protein
JKJFLGDP_00714	CDS	1476				hypothetical protein
JKJFLGDP_00715	CDS	1305				IS66 family transposase ISArch15
JKJFLGDP_00716	CDS	465				hypothetical protein
JKJFLGDP_00717	CDS	237				hypothetical protein
JKJFLGDP_00718	CDS	2136				hypothetical protein
JKJFLGDP_00719	CDS	1350				hypothetical protein
JKJFLGDP_00720	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_00721	CDS	2028				hypothetical protein
JKJFLGDP_00722	CDS	1896				hypothetical protein
JKJFLGDP_00723	CDS	1551				hypothetical protein
JKJFLGDP_00724	CDS	1560				IS66 family transposase ISMbu5
JKJFLGDP_00725	CDS	1872				hypothetical protein
JKJFLGDP_00726	CDS	552				hypothetical protein
JKJFLGDP_00727	CDS	795				hypothetical protein
JKJFLGDP_00728	CDS	2394	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JKJFLGDP_00729	CDS	2583	gyrB	5.6.2.2		DNA gyrase subunit B
JKJFLGDP_00730	tRNA	72				tRNA-Cys(gca)
JKJFLGDP_00731	CDS	204				hypothetical protein
JKJFLGDP_00732	CDS	285	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
JKJFLGDP_00733	CDS	666	kynB	3.5.1.9	COG1878	Kynurenine formamidase
JKJFLGDP_00734	CDS	3312	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JKJFLGDP_00735	CDS	972	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
JKJFLGDP_00736	CDS	3162	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
JKJFLGDP_00737	CDS	477			COG1259	putative protein
JKJFLGDP_00738	CDS	378				hypothetical protein
JKJFLGDP_00739	CDS	702				hypothetical protein
JKJFLGDP_00740	CDS	2196				hypothetical protein
JKJFLGDP_00741	CDS	711	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
JKJFLGDP_00742	CDS	936	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
JKJFLGDP_00743	CDS	1260				hypothetical protein
JKJFLGDP_00744	CDS	714				hypothetical protein
JKJFLGDP_00745	CDS	780	nifH	1.18.6.1		Nitrogenase iron protein
JKJFLGDP_00746	CDS	201				hypothetical protein
JKJFLGDP_00747	CDS	462				hypothetical protein
JKJFLGDP_00748	CDS	1668				hypothetical protein
JKJFLGDP_00749	CDS	468				hypothetical protein
JKJFLGDP_00750	CDS	300	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
JKJFLGDP_00751	CDS	1275				hypothetical protein
JKJFLGDP_00752	CDS	741	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JKJFLGDP_00753	CDS	1290				hypothetical protein
JKJFLGDP_00754	CDS	840	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
JKJFLGDP_00755	CDS	921	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
JKJFLGDP_00756	CDS	780	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JKJFLGDP_00757	CDS	1521	hbpA		COG0747	Heme-binding protein A
JKJFLGDP_00758	CDS	171				hypothetical protein
JKJFLGDP_00759	CDS	375				hypothetical protein
JKJFLGDP_00760	CDS	564	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
JKJFLGDP_00761	CDS	465				hypothetical protein
JKJFLGDP_00762	CDS	621				hypothetical protein
JKJFLGDP_00763	CDS	801				hypothetical protein
JKJFLGDP_00764	CDS	897				hypothetical protein
JKJFLGDP_00765	CDS	435				hypothetical protein
JKJFLGDP_00766	CDS	213				hypothetical protein
JKJFLGDP_00767	CDS	384				hypothetical protein
JKJFLGDP_00768	CDS	1548		2.3.1.-		tRNA uridine(34) acetyltransferase
JKJFLGDP_00769	CDS	516	fbiB_2	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
JKJFLGDP_00770	CDS	942				hypothetical protein
JKJFLGDP_00771	CDS	873	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
JKJFLGDP_00772	tRNA	76				tRNA-Arg(cct)
JKJFLGDP_00773	CDS	1335				hypothetical protein
JKJFLGDP_00774	CDS	969				hypothetical protein
JKJFLGDP_00775	CDS	393	rcp1			Response regulator rcp1
JKJFLGDP_00776	CDS	855	nfo_1	3.1.21.2	COG0648	putative endonuclease 4
JKJFLGDP_00777	CDS	309				hypothetical protein
JKJFLGDP_00778	tRNA	75				tRNA-Lys(ctt)
JKJFLGDP_00779	CDS	1326		6.3.1.2	COG0174	Glutamine synthetase
JKJFLGDP_00780	CDS	1419	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
JKJFLGDP_00781	CDS	975	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JKJFLGDP_00782	CDS	690				hypothetical protein
JKJFLGDP_00783	CDS	591				hypothetical protein
JKJFLGDP_00784	CDS	1401				hypothetical protein
JKJFLGDP_00785	CDS	1707	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
JKJFLGDP_00786	CDS	342				hypothetical protein
JKJFLGDP_00787	CDS	210				hypothetical protein
JKJFLGDP_00788	CDS	1275	chuR	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
JKJFLGDP_00789	CDS	1428		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
JKJFLGDP_00790	CDS	1473				hypothetical protein
JKJFLGDP_00791	CDS	708				IS21 family transposase ISKol1
JKJFLGDP_00792	CDS	1527				IS1634 family transposase ISMth2
JKJFLGDP_00793	CDS	261				hypothetical protein
JKJFLGDP_00794	CDS	699		2.1.1.-		putative methyltransferase
JKJFLGDP_00795	CDS	435	fprA_1	1.-.-.-	COG0426	Nitric oxide reductase
JKJFLGDP_00796	CDS	819	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JKJFLGDP_00797	CDS	1290	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
JKJFLGDP_00798	CDS	615	tmung	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
JKJFLGDP_00799	CDS	237				hypothetical protein
JKJFLGDP_00800	CDS	1263	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
JKJFLGDP_00801	CDS	1218	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
JKJFLGDP_00802	CDS	840				hypothetical protein
JKJFLGDP_00803	CDS	2022				hypothetical protein
JKJFLGDP_00804	CDS	1116	btuC_1			Vitamin B12 import system permease protein BtuC
JKJFLGDP_00805	CDS	231				hypothetical protein
JKJFLGDP_00806	CDS	3807	cobN_1	6.6.1.2		Aerobic cobaltochelatase subunit CobN
JKJFLGDP_00807	CDS	141				hypothetical protein
JKJFLGDP_00808	CDS	1104				hypothetical protein
JKJFLGDP_00809	CDS	2073			COG1239	putative protein
