ANPAHHCN_00002	K02827
ANPAHHCN_00982	K02313
ANPAHHCN_00983	K02914
ANPAHHCN_00984	K03536
ANPAHHCN_00985	K03650
ANPAHHCN_00986	K03495
ANPAHHCN_00987	K03501
ANPAHHCN_00988	K03497
ANPAHHCN_00989	-
ANPAHHCN_00990	-
ANPAHHCN_00991	-
ANPAHHCN_00992	K03704
ANPAHHCN_00993	-
ANPAHHCN_00994	-
ANPAHHCN_00995	-
ANPAHHCN_00996	-
ANPAHHCN_00997	K11632
ANPAHHCN_00998	K02003
ANPAHHCN_00999	-
ANPAHHCN_01000	K00675
ANPAHHCN_01001	K07241
ANPAHHCN_01002	-
ANPAHHCN_01003	K05786
ANPAHHCN_01004	K03319
ANPAHHCN_01005	-
ANPAHHCN_01006	K10947
ANPAHHCN_01007	-
ANPAHHCN_01008	K01304
ANPAHHCN_01009	K07146
ANPAHHCN_01010	K02352
ANPAHHCN_01011	-
ANPAHHCN_01012	-
ANPAHHCN_01013	K16924
ANPAHHCN_01014	K16786
ANPAHHCN_01015	K16785
ANPAHHCN_01016	-
ANPAHHCN_01017	-
ANPAHHCN_01018	-
ANPAHHCN_01019	K00765
ANPAHHCN_01020	K00013
ANPAHHCN_01021	K00817
ANPAHHCN_01022	K01693
ANPAHHCN_01023	K02501
ANPAHHCN_01024	K01814
ANPAHHCN_01025	K02500
ANPAHHCN_01026	K01496
ANPAHHCN_01027	K01046
ANPAHHCN_01028	K21462
ANPAHHCN_01029	K21478
ANPAHHCN_01030	K21461
ANPAHHCN_01031	K11936
ANPAHHCN_01032	K21453
ANPAHHCN_01033	-
ANPAHHCN_01034	-
ANPAHHCN_01035	K01104
ANPAHHCN_01036	-
ANPAHHCN_01037	K07304
ANPAHHCN_01038	-
ANPAHHCN_01039	-
ANPAHHCN_01040	-
ANPAHHCN_01041	-
ANPAHHCN_01042	-
ANPAHHCN_01043	-
ANPAHHCN_01044	K03076
ANPAHHCN_01045	K12268
ANPAHHCN_01046	K12269
ANPAHHCN_01047	K12270
ANPAHHCN_01048	K03070
ANPAHHCN_01049	-
ANPAHHCN_01050	-
ANPAHHCN_01051	-
ANPAHHCN_01052	-
ANPAHHCN_01053	-
ANPAHHCN_01054	K01421
ANPAHHCN_01055	K01809
ANPAHHCN_01056	K02768
ANPAHHCN_01057	K02538
ANPAHHCN_01059	-
ANPAHHCN_01060	K01400
ANPAHHCN_01061	-
ANPAHHCN_01062	K01478
ANPAHHCN_01063	K00611
ANPAHHCN_01064	K03756
ANPAHHCN_01065	K00926
ANPAHHCN_01066	K21828
ANPAHHCN_01067	K14192
ANPAHHCN_01068	-
ANPAHHCN_01069	-
ANPAHHCN_01070	-
ANPAHHCN_01071	K01077
ANPAHHCN_01073	K19078
ANPAHHCN_01074	K19081
ANPAHHCN_01075	K02003
ANPAHHCN_01076	K02004
ANPAHHCN_01077	K00432
ANPAHHCN_01078	K00380
ANPAHHCN_01079	K02304
ANPAHHCN_01080	K03300
ANPAHHCN_01081	K21636
ANPAHHCN_01082	K04068
ANPAHHCN_01083	K03451
ANPAHHCN_01084	-
ANPAHHCN_01085	K22109
ANPAHHCN_01086	K00130
ANPAHHCN_01087	K00108
ANPAHHCN_01088	-
ANPAHHCN_01089	K21481
ANPAHHCN_01090	K01895
ANPAHHCN_01091	K00116
ANPAHHCN_01092	K01623
ANPAHHCN_01093	-
ANPAHHCN_01094	K00823
ANPAHHCN_01095	K03294
ANPAHHCN_01096	K00016
ANPAHHCN_01097	K01575
ANPAHHCN_01098	K00077
ANPAHHCN_01099	K00606
ANPAHHCN_01100	K01918
ANPAHHCN_01101	K01579
ANPAHHCN_01102	K06978
ANPAHHCN_01103	-
ANPAHHCN_01104	K04750
ANPAHHCN_01105	K09765
ANPAHHCN_01106	-
ANPAHHCN_01107	K00226
ANPAHHCN_01108	-
ANPAHHCN_01109	-
ANPAHHCN_01111	-
ANPAHHCN_01112	K07222
ANPAHHCN_01113	-
ANPAHHCN_01114	-
ANPAHHCN_01115	-
ANPAHHCN_01116	K07045
ANPAHHCN_01117	-
ANPAHHCN_01118	-
ANPAHHCN_01119	-
ANPAHHCN_01120	-
ANPAHHCN_01121	K07032
ANPAHHCN_01122	-
ANPAHHCN_01124	-
ANPAHHCN_01125	K07035
ANPAHHCN_01126	-
ANPAHHCN_01127	-
ANPAHHCN_01128	-
ANPAHHCN_01129	-
ANPAHHCN_01130	K10212
ANPAHHCN_01131	K10210
ANPAHHCN_01132	K10211
ANPAHHCN_01133	K02291
ANPAHHCN_01134	K10027
ANPAHHCN_01135	K08969
ANPAHHCN_01136	K03778
ANPAHHCN_01137	K07213
ANPAHHCN_01138	K17686
ANPAHHCN_01139	-
ANPAHHCN_01140	-
ANPAHHCN_01141	K00294
ANPAHHCN_01142	-
ANPAHHCN_01143	K06994
ANPAHHCN_01144	K04758
ANPAHHCN_01145	K04759
ANPAHHCN_01146	-
ANPAHHCN_01147	K04086
ANPAHHCN_01148	K00567
ANPAHHCN_01149	K01641
ANPAHHCN_01150	K00054
ANPAHHCN_01152	-
ANPAHHCN_01153	-
ANPAHHCN_01154	-
ANPAHHCN_01155	K06518
ANPAHHCN_01156	-
ANPAHHCN_01157	K00158
ANPAHHCN_01158	K02763
ANPAHHCN_01159	K07107
ANPAHHCN_01160	-
ANPAHHCN_01161	-
ANPAHHCN_01162	-
ANPAHHCN_01163	-
ANPAHHCN_01164	-
ANPAHHCN_01165	K01752
ANPAHHCN_01166	K01752
ANPAHHCN_01167	-
ANPAHHCN_01168	K03823
ANPAHHCN_01169	K07284
ANPAHHCN_01170	K16916
ANPAHHCN_01171	K16917
ANPAHHCN_01172	-
ANPAHHCN_01173	K03778
ANPAHHCN_01174	-
ANPAHHCN_01175	K07104
ANPAHHCN_01176	K06975
ANPAHHCN_01177	K15973
ANPAHHCN_01178	K15975
ANPAHHCN_01179	K06999
ANPAHHCN_01180	-
ANPAHHCN_01181	K04041
ANPAHHCN_01182	K01992
ANPAHHCN_01183	K01990
ANPAHHCN_01184	-
ANPAHHCN_01185	-
ANPAHHCN_01186	K01077
ANPAHHCN_01187	K03535
ANPAHHCN_01188	-
ANPAHHCN_01189	-
ANPAHHCN_01190	K00951
ANPAHHCN_01191	-
ANPAHHCN_01192	K11476
ANPAHHCN_01193	K00851
ANPAHHCN_01194	K03299
ANPAHHCN_01195	K13733
ANPAHHCN_01196	K13733
ANPAHHCN_01197	K00963
ANPAHHCN_01198	-
ANPAHHCN_01199	-
ANPAHHCN_01200	K14195
ANPAHHCN_01201	-
ANPAHHCN_01205	K01835
ANPAHHCN_01206	K03574
ANPAHHCN_01207	-
ANPAHHCN_01208	-
ANPAHHCN_01209	-
ANPAHHCN_01210	-
ANPAHHCN_01211	-
ANPAHHCN_01212	-
ANPAHHCN_01213	-
ANPAHHCN_01214	-
ANPAHHCN_01215	-
ANPAHHCN_01216	-
ANPAHHCN_01217	-
ANPAHHCN_01218	-
ANPAHHCN_01219	-
ANPAHHCN_01220	-
ANPAHHCN_01221	K12942
ANPAHHCN_01222	-
ANPAHHCN_01223	-
ANPAHHCN_01224	-
ANPAHHCN_01225	-
ANPAHHCN_01226	-
ANPAHHCN_01227	K15584
ANPAHHCN_01228	K15585
ANPAHHCN_01229	K15586
ANPAHHCN_01230	K15587
ANPAHHCN_01231	K10824
ANPAHHCN_01232	-
ANPAHHCN_01233	-
ANPAHHCN_01234	K00284
ANPAHHCN_01235	-
ANPAHHCN_01236	-
ANPAHHCN_01237	-
ANPAHHCN_01238	-
ANPAHHCN_01239	K02068
ANPAHHCN_01240	K02069
ANPAHHCN_01241	-
ANPAHHCN_01242	K03929
ANPAHHCN_01243	-
ANPAHHCN_01244	-
ANPAHHCN_01245	K05847
ANPAHHCN_01246	K05846
ANPAHHCN_01247	K05845
ANPAHHCN_01248	K05846
ANPAHHCN_01249	K08170
ANPAHHCN_01250	K00077
ANPAHHCN_01251	-
ANPAHHCN_01252	-
ANPAHHCN_01253	-
ANPAHHCN_01254	K03316
ANPAHHCN_01255	K03293
ANPAHHCN_01256	-
ANPAHHCN_01257	-
ANPAHHCN_01258	-
ANPAHHCN_01259	K07552
ANPAHHCN_01260	-
ANPAHHCN_01261	K00865
ANPAHHCN_01262	-
ANPAHHCN_01263	K06147
ANPAHHCN_01264	K06147
ANPAHHCN_01265	K01935
ANPAHHCN_01266	K00833
ANPAHHCN_01267	K01012
ANPAHHCN_01268	K00639
ANPAHHCN_01269	K01906
ANPAHHCN_01270	-
ANPAHHCN_01271	K11038
ANPAHHCN_01272	K11038
ANPAHHCN_01273	K11038
ANPAHHCN_01274	K14197
ANPAHHCN_01275	-
ANPAHHCN_01276	K01834
ANPAHHCN_01277	-
ANPAHHCN_01278	K18936
ANPAHHCN_01279	K02030
ANPAHHCN_01280	K10009
ANPAHHCN_01281	K10010
ANPAHHCN_01282	-
ANPAHHCN_01283	-
ANPAHHCN_01284	-
ANPAHHCN_01285	K19159
ANPAHHCN_01286	K19158
ANPAHHCN_01287	K09815
ANPAHHCN_01288	-
ANPAHHCN_01289	-
ANPAHHCN_01290	-
ANPAHHCN_01291	K00680
ANPAHHCN_01292	-
ANPAHHCN_01293	K00362
ANPAHHCN_01294	K00363
ANPAHHCN_01295	K02303
ANPAHHCN_01296	K00370
ANPAHHCN_01297	K00371
ANPAHHCN_01298	K00373
ANPAHHCN_01299	K00374
ANPAHHCN_01300	K10851
ANPAHHCN_01301	K07683
ANPAHHCN_01302	K07696
ANPAHHCN_01303	-
ANPAHHCN_01304	-
ANPAHHCN_01305	-
ANPAHHCN_01306	K02575
ANPAHHCN_01307	K13993
ANPAHHCN_01308	-
ANPAHHCN_01309	-
ANPAHHCN_01310	K03309
ANPAHHCN_01311	-
ANPAHHCN_01312	-
ANPAHHCN_01313	K02099
ANPAHHCN_01314	-
ANPAHHCN_01315	K02808
ANPAHHCN_01316	K03284
ANPAHHCN_01317	-
ANPAHHCN_01318	-
ANPAHHCN_01319	-
ANPAHHCN_01320	K21567
ANPAHHCN_01321	-
ANPAHHCN_01322	K00001
ANPAHHCN_01323	K22441
ANPAHHCN_01324	-
ANPAHHCN_01325	-
ANPAHHCN_01326	K03303
ANPAHHCN_01327	K00116
ANPAHHCN_01328	-
ANPAHHCN_01329	-
ANPAHHCN_01330	K02484
ANPAHHCN_01331	K02483
ANPAHHCN_01332	K02004
ANPAHHCN_01333	K02003
ANPAHHCN_01334	K07487
ANPAHHCN_01335	-
ANPAHHCN_01336	K21454
ANPAHHCN_01337	K21463
ANPAHHCN_01338	K07552
ANPAHHCN_01339	-
ANPAHHCN_01340	-
ANPAHHCN_01341	K03446
ANPAHHCN_01342	-
ANPAHHCN_01343	-
ANPAHHCN_01344	-
ANPAHHCN_01345	K07107
ANPAHHCN_01346	K03284
ANPAHHCN_01347	K01823
ANPAHHCN_01348	K03312
ANPAHHCN_01349	K03652
ANPAHHCN_01350	-
ANPAHHCN_01351	K01990
ANPAHHCN_01352	K01992
ANPAHHCN_01353	K09771
ANPAHHCN_01354	K01785
ANPAHHCN_01355	-
ANPAHHCN_01356	K01807
ANPAHHCN_01357	-
ANPAHHCN_01358	K01479
ANPAHHCN_01359	K11210
ANPAHHCN_01360	-
ANPAHHCN_01361	K01712
ANPAHHCN_01362	K01468
ANPAHHCN_01363	K21613
ANPAHHCN_01364	-
ANPAHHCN_01365	-
ANPAHHCN_01366	-
ANPAHHCN_01367	-
ANPAHHCN_01368	K03481
ANPAHHCN_01369	K02749
ANPAHHCN_01370	-
ANPAHHCN_01371	K03453
ANPAHHCN_01372	-
ANPAHHCN_01373	-
ANPAHHCN_01374	-
ANPAHHCN_01375	-
ANPAHHCN_01376	K03293
ANPAHHCN_01377	-
ANPAHHCN_01379	K07052
ANPAHHCN_01380	-
ANPAHHCN_01381	K01092
ANPAHHCN_01382	-
ANPAHHCN_01383	K00123
ANPAHHCN_01384	-
ANPAHHCN_01385	-
ANPAHHCN_01386	K01227
ANPAHHCN_01387	-
ANPAHHCN_01388	K00015
ANPAHHCN_01389	K21471
ANPAHHCN_01390	K09940
ANPAHHCN_01391	K04940
ANPAHHCN_01392	K03315
ANPAHHCN_01393	-
ANPAHHCN_01394	-
ANPAHHCN_01395	-
ANPAHHCN_01396	-
ANPAHHCN_01397	-
ANPAHHCN_01398	K03190
ANPAHHCN_01399	K03189
ANPAHHCN_01400	K03188
ANPAHHCN_01401	K03187
ANPAHHCN_01402	K01428
ANPAHHCN_01403	K01429
ANPAHHCN_01404	K01430
ANPAHHCN_01405	K08717
ANPAHHCN_01406	-
ANPAHHCN_01407	K02016
ANPAHHCN_01408	K01239
ANPAHHCN_01409	K03523
ANPAHHCN_01410	-
ANPAHHCN_01411	K02379
ANPAHHCN_01412	K02020
ANPAHHCN_01413	K02018
ANPAHHCN_01414	K02017
ANPAHHCN_01415	K21029
ANPAHHCN_01416	K03638
ANPAHHCN_01418	K03750
ANPAHHCN_01419	K03753
ANPAHHCN_01420	K03635
ANPAHHCN_01421	K03636
ANPAHHCN_01422	K03752
ANPAHHCN_01423	K03639
ANPAHHCN_01424	-
ANPAHHCN_01425	-
ANPAHHCN_01426	-
ANPAHHCN_01427	-
ANPAHHCN_01428	-
ANPAHHCN_01429	K05363
ANPAHHCN_01430	K03296
ANPAHHCN_01431	-
ANPAHHCN_01432	-
ANPAHHCN_01433	K07088
ANPAHHCN_01434	K05340
ANPAHHCN_01435	-
ANPAHHCN_01436	K03169
ANPAHHCN_01437	K06901
ANPAHHCN_01438	-
ANPAHHCN_01439	K02946
ANPAHHCN_01440	K02906
ANPAHHCN_01441	K02926
ANPAHHCN_01442	K02892
ANPAHHCN_01443	K02886
ANPAHHCN_01444	K02965
ANPAHHCN_01445	K02890
ANPAHHCN_01446	K02982
ANPAHHCN_01447	K02878
ANPAHHCN_01448	K02904
ANPAHHCN_01449	K02961
ANPAHHCN_01450	K02874
ANPAHHCN_01451	K02895
ANPAHHCN_01452	K02931
ANPAHHCN_01453	K02954
ANPAHHCN_01454	K02994
ANPAHHCN_01455	K02933
ANPAHHCN_01456	K02881
ANPAHHCN_01457	K02988
ANPAHHCN_01458	K02907
ANPAHHCN_01459	K02876
ANPAHHCN_01460	K03076
ANPAHHCN_01461	K00939
ANPAHHCN_01462	K02518
ANPAHHCN_01463	K02919
ANPAHHCN_01464	K02952
ANPAHHCN_01465	K02948
ANPAHHCN_01466	K03040
ANPAHHCN_01467	K02879
ANPAHHCN_01468	K16786
ANPAHHCN_01469	K16787
ANPAHHCN_01470	K16785
ANPAHHCN_01471	K06173
ANPAHHCN_01472	K02871
ANPAHHCN_01473	K02996
ANPAHHCN_01474	-
ANPAHHCN_01475	-
ANPAHHCN_01476	-
ANPAHHCN_01477	-
ANPAHHCN_01478	-
ANPAHHCN_01479	K01652
ANPAHHCN_01480	K01575
ANPAHHCN_01481	K14204
ANPAHHCN_01482	K18654
ANPAHHCN_01483	-
ANPAHHCN_01484	K01727
ANPAHHCN_01485	-
ANPAHHCN_01486	K06221
ANPAHHCN_01488	-
ANPAHHCN_01489	K12410
ANPAHHCN_01490	K02530
ANPAHHCN_01491	K01819
ANPAHHCN_01492	K01819
ANPAHHCN_01493	K00917
ANPAHHCN_01494	K01635
ANPAHHCN_01495	K02759
ANPAHHCN_01496	K02787
ANPAHHCN_01497	K01220
ANPAHHCN_01498	-
ANPAHHCN_01499	K00344
ANPAHHCN_01500	K00001
ANPAHHCN_01501	K05020
ANPAHHCN_01502	-
ANPAHHCN_01503	-
ANPAHHCN_01504	-
ANPAHHCN_01505	-
ANPAHHCN_01506	K07487
ANPAHHCN_01507	K07487
ANPAHHCN_01508	-
ANPAHHCN_01509	-
ANPAHHCN_01510	-
ANPAHHCN_01511	-
ANPAHHCN_01512	K02016
ANPAHHCN_01513	K02015
ANPAHHCN_01514	K02015
ANPAHHCN_01515	-
ANPAHHCN_01516	-
ANPAHHCN_01517	K07038
ANPAHHCN_01518	K11442
ANPAHHCN_01519	K11068
ANPAHHCN_01520	K18935
ANPAHHCN_01521	-
ANPAHHCN_01522	K18934
ANPAHHCN_01523	K03593
ANPAHHCN_01533	K07485
ANPAHHCN_01534	K01476
ANPAHHCN_01535	K18672
ANPAHHCN_01536	-
ANPAHHCN_01537	K03431
ANPAHHCN_01538	-
ANPAHHCN_01539	K00009
ANPAHHCN_01540	K02798
ANPAHHCN_01541	K03483
ANPAHHCN_01542	K02799
ANPAHHCN_01543	K00820
ANPAHHCN_01544	K02013
ANPAHHCN_01545	-
ANPAHHCN_01546	-
ANPAHHCN_01547	-
ANPAHHCN_01548	-
ANPAHHCN_01549	K16264
ANPAHHCN_01550	K22043
ANPAHHCN_01551	-
ANPAHHCN_01552	K01809
ANPAHHCN_01553	-
ANPAHHCN_01554	-
ANPAHHCN_01555	-
ANPAHHCN_01556	K04047
ANPAHHCN_01557	K03784
ANPAHHCN_01558	K01619
ANPAHHCN_01559	K00756
ANPAHHCN_01560	-
ANPAHHCN_01561	K07173
ANPAHHCN_01562	K21613
ANPAHHCN_01563	-
ANPAHHCN_01564	-
ANPAHHCN_01565	K09680
ANPAHHCN_01566	-
ANPAHHCN_01567	K03048
ANPAHHCN_01568	K01937
ANPAHHCN_01569	-
ANPAHHCN_01570	K01624
ANPAHHCN_01571	K00790
ANPAHHCN_01572	-
ANPAHHCN_01573	K00128
ANPAHHCN_01574	K03628
ANPAHHCN_01575	K02909
ANPAHHCN_01576	K00857
ANPAHHCN_01577	K02835
ANPAHHCN_01578	K02493
ANPAHHCN_01579	K07566
ANPAHHCN_01580	K01104
ANPAHHCN_01581	-
ANPAHHCN_01582	K00600
ANPAHHCN_01583	K00761
ANPAHHCN_01584	K01791
ANPAHHCN_01585	K02116
ANPAHHCN_01586	K02108
ANPAHHCN_01587	K02110
ANPAHHCN_01588	K02109
ANPAHHCN_01589	K02113
ANPAHHCN_01590	K02111
ANPAHHCN_01591	K02115
ANPAHHCN_01592	K02112
ANPAHHCN_01593	K02114
ANPAHHCN_01594	-
ANPAHHCN_01595	K00790
ANPAHHCN_01596	K02372
ANPAHHCN_01597	-
ANPAHHCN_01598	K03111
ANPAHHCN_01599	-
ANPAHHCN_01600	K07487
ANPAHHCN_01601	K03707
ANPAHHCN_01602	K00941
ANPAHHCN_01603	K00878
ANPAHHCN_01604	K00788
ANPAHHCN_01605	K03217
ANPAHHCN_01606	K06950
ANPAHHCN_01607	K06131
ANPAHHCN_01608	K21600
ANPAHHCN_01609	-
ANPAHHCN_01610	-
ANPAHHCN_01611	K05837
ANPAHHCN_01612	K01921
ANPAHHCN_01613	K01929
ANPAHHCN_01614	K05592
ANPAHHCN_01615	K07667
ANPAHHCN_01616	K07646
ANPAHHCN_01617	K01546
ANPAHHCN_01618	K01547
ANPAHHCN_01619	K01548
ANPAHHCN_01620	K09167
ANPAHHCN_01621	K08981
ANPAHHCN_01622	K09167
ANPAHHCN_01623	K00997
ANPAHHCN_01624	K01775
ANPAHHCN_01625	K07723
ANPAHHCN_01626	K07171
ANPAHHCN_01627	K07315
ANPAHHCN_01628	K04749
ANPAHHCN_01629	K04757
ANPAHHCN_01630	K03090
ANPAHHCN_01631	K06959
ANPAHHCN_01632	K03095
ANPAHHCN_01638	K01754
ANPAHHCN_01639	K01704
ANPAHHCN_01640	K01703
ANPAHHCN_01641	K00052
ANPAHHCN_01642	K01649
ANPAHHCN_01643	K00053
ANPAHHCN_01644	K01653
ANPAHHCN_01645	K01652
ANPAHHCN_01646	K01687
ANPAHHCN_01647	K06925
ANPAHHCN_01648	K01409
ANPAHHCN_01649	K03789
ANPAHHCN_01650	K01409
ANPAHHCN_01651	-
ANPAHHCN_01652	K06158
ANPAHHCN_01653	K01926
ANPAHHCN_01654	K07112
ANPAHHCN_01655	-
ANPAHHCN_01656	K03320
ANPAHHCN_01657	K03484
ANPAHHCN_01658	K01193
ANPAHHCN_01659	K00847
ANPAHHCN_01660	K07707
ANPAHHCN_01661	K07706
ANPAHHCN_01662	K07800
ANPAHHCN_01663	K07813
ANPAHHCN_01665	K13566
ANPAHHCN_01666	K07078
ANPAHHCN_01667	-
ANPAHHCN_01668	K07052
ANPAHHCN_01669	K04078
ANPAHHCN_01670	K04077
ANPAHHCN_01671	K07474
ANPAHHCN_01672	-
ANPAHHCN_01673	K03498
ANPAHHCN_01674	K02016
ANPAHHCN_01675	-
ANPAHHCN_01676	K01439
ANPAHHCN_01677	-
ANPAHHCN_01678	K11032
ANPAHHCN_01679	K01114
ANPAHHCN_01680	K14204
ANPAHHCN_01681	K14204
ANPAHHCN_01682	-
ANPAHHCN_01683	-
ANPAHHCN_01684	K07979
ANPAHHCN_01685	K01990
ANPAHHCN_01686	-
ANPAHHCN_01687	K01990
ANPAHHCN_01688	K01992
ANPAHHCN_01689	-
ANPAHHCN_01690	-
ANPAHHCN_01691	-
ANPAHHCN_01692	-
ANPAHHCN_01693	-
ANPAHHCN_01694	-
ANPAHHCN_01695	-
ANPAHHCN_01696	K07404
ANPAHHCN_01697	K00128
ANPAHHCN_01698	K15986
ANPAHHCN_01699	-
ANPAHHCN_01700	-
ANPAHHCN_01701	K14445
ANPAHHCN_01702	K04518
ANPAHHCN_01703	K00491
ANPAHHCN_01704	K00763
ANPAHHCN_01705	K01916
ANPAHHCN_01706	-
ANPAHHCN_01707	-
ANPAHHCN_01708	-
ANPAHHCN_01709	K08258
ANPAHHCN_01710	K01756
ANPAHHCN_01711	-
ANPAHHCN_01712	K07094
ANPAHHCN_01713	K03657
ANPAHHCN_01714	K01972
ANPAHHCN_01715	-
ANPAHHCN_01716	K03307
ANPAHHCN_01717	K02435
ANPAHHCN_01718	K02433
ANPAHHCN_01719	K02434
ANPAHHCN_01720	K07029
ANPAHHCN_01721	K03215
ANPAHHCN_01722	-
ANPAHHCN_01723	K02346
ANPAHHCN_01724	K02342
ANPAHHCN_01725	K02217
ANPAHHCN_01726	K01928
ANPAHHCN_01727	K07009
ANPAHHCN_01728	-
ANPAHHCN_01729	-
ANPAHHCN_01730	K01265
ANPAHHCN_01731	-
ANPAHHCN_01732	K11622
ANPAHHCN_01733	K07681
ANPAHHCN_01734	K07694
ANPAHHCN_01735	K07058
ANPAHHCN_01736	-
ANPAHHCN_01737	K01104
ANPAHHCN_01738	-
ANPAHHCN_01739	K19689
ANPAHHCN_01740	-
ANPAHHCN_01741	-
ANPAHHCN_01742	-
ANPAHHCN_01743	K05520
ANPAHHCN_01744	K04478
ANPAHHCN_01745	K03565
ANPAHHCN_01746	-
ANPAHHCN_01747	K09693
ANPAHHCN_01748	K09692
ANPAHHCN_01749	K07038
ANPAHHCN_01750	K03575
ANPAHHCN_01751	K07586
ANPAHHCN_01752	K11085
ANPAHHCN_01753	-
ANPAHHCN_01754	K01845
ANPAHHCN_01755	K03564
ANPAHHCN_01756	-
ANPAHHCN_01757	K09825
ANPAHHCN_01790	K07485
ANPAHHCN_01791	-
ANPAHHCN_01792	K07035
ANPAHHCN_01793	K02029
ANPAHHCN_01794	K02028
ANPAHHCN_01795	K18979
ANPAHHCN_01796	K03216
ANPAHHCN_01797	-
ANPAHHCN_01798	-
ANPAHHCN_01799	-
ANPAHHCN_01800	K01679
ANPAHHCN_01801	K06180
ANPAHHCN_01802	K02480
ANPAHHCN_01803	K02479
ANPAHHCN_01804	-
ANPAHHCN_01805	-
ANPAHHCN_01806	-
ANPAHHCN_01807	K03547
ANPAHHCN_01808	-
ANPAHHCN_01809	K03698
ANPAHHCN_01810	K07533
ANPAHHCN_01811	-
ANPAHHCN_01812	-
ANPAHHCN_01813	K02503
ANPAHHCN_01814	K01990
ANPAHHCN_01815	K01992
ANPAHHCN_01816	K21481
ANPAHHCN_01817	K01599
ANPAHHCN_01818	K01772
ANPAHHCN_01819	K00231
ANPAHHCN_01820	K07002
ANPAHHCN_01829	-
ANPAHHCN_01830	-
ANPAHHCN_01831	K11038
ANPAHHCN_01832	K11038
ANPAHHCN_01834	K20483
ANPAHHCN_01835	K20484
ANPAHHCN_01836	-
ANPAHHCN_01837	-
ANPAHHCN_01838	K20490
ANPAHHCN_01839	K20491
ANPAHHCN_01840	K20494
ANPAHHCN_01842	K01318
ANPAHHCN_01843	K01318
ANPAHHCN_01844	K01318
ANPAHHCN_01845	K01318
ANPAHHCN_01846	K01173
ANPAHHCN_01847	K01318
ANPAHHCN_01848	K03427
ANPAHHCN_01849	K01154
ANPAHHCN_01850	-
ANPAHHCN_01851	-
ANPAHHCN_01852	K07483
ANPAHHCN_01853	-
ANPAHHCN_01855	-
ANPAHHCN_01856	-
ANPAHHCN_01857	-
ANPAHHCN_01858	-
ANPAHHCN_01859	-
ANPAHHCN_01860	K01174
ANPAHHCN_01862	K01911
ANPAHHCN_01863	K02549
ANPAHHCN_01864	K08998
ANPAHHCN_01865	K03574
ANPAHHCN_01866	-
ANPAHHCN_01867	K07491
ANPAHHCN_01868	K01610
ANPAHHCN_01869	K00789
ANPAHHCN_01870	-
ANPAHHCN_01871	-
ANPAHHCN_01872	-
ANPAHHCN_01873	K07487
ANPAHHCN_01874	K06199
ANPAHHCN_01875	K06199
ANPAHHCN_01876	-
ANPAHHCN_01877	K00616
ANPAHHCN_01878	K07052
ANPAHHCN_01879	-
ANPAHHCN_01880	-
ANPAHHCN_01881	K00960
ANPAHHCN_01882	-
ANPAHHCN_01883	K01227
ANPAHHCN_01884	K03741
ANPAHHCN_01885	K03893
ANPAHHCN_01886	K03892
ANPAHHCN_01887	-
ANPAHHCN_01888	K11752
ANPAHHCN_01889	K00793
ANPAHHCN_01890	K14652
ANPAHHCN_01891	K00794
ANPAHHCN_01892	K00318
ANPAHHCN_01893	K01048
ANPAHHCN_01894	-
ANPAHHCN_01895	K07487
ANPAHHCN_01896	K20338
ANPAHHCN_01897	-
ANPAHHCN_01898	K07139
ANPAHHCN_01899	-
ANPAHHCN_01900	K01869
ANPAHHCN_01901	-
ANPAHHCN_01902	-
ANPAHHCN_01903	K07007
ANPAHHCN_01904	K03328
ANPAHHCN_01905	K06183
ANPAHHCN_01906	-
ANPAHHCN_01907	K01439
ANPAHHCN_01908	K00824
ANPAHHCN_01909	-
ANPAHHCN_01910	K03439
ANPAHHCN_01911	-
ANPAHHCN_01912	-
ANPAHHCN_01913	K01261
ANPAHHCN_01914	-
ANPAHHCN_01915	-
ANPAHHCN_01916	K06878
ANPAHHCN_01917	K03466
ANPAHHCN_01918	K01924
ANPAHHCN_01919	-
ANPAHHCN_01920	K01768
ANPAHHCN_01921	K03856
ANPAHHCN_01922	K02529
ANPAHHCN_01923	K04768
ANPAHHCN_01924	K04766
ANPAHHCN_01925	K01895
ANPAHHCN_01926	K01938
ANPAHHCN_01927	-
ANPAHHCN_01928	K03693
ANPAHHCN_01929	K01866
ANPAHHCN_01930	K04771
ANPAHHCN_01931	K00655
ANPAHHCN_01932	K02802
ANPAHHCN_01933	-
ANPAHHCN_01934	K00058
ANPAHHCN_01935	-
ANPAHHCN_01936	-
ANPAHHCN_01937	K01126
ANPAHHCN_01938	K02986
ANPAHHCN_01939	K08968
ANPAHHCN_01940	K06286
ANPAHHCN_01941	K04487
ANPAHHCN_01942	K03151
ANPAHHCN_01943	K07090
ANPAHHCN_01944	K11065
ANPAHHCN_01945	K00571
ANPAHHCN_01946	K00925
ANPAHHCN_01947	-
ANPAHHCN_01948	K00259
ANPAHHCN_01949	K01271
ANPAHHCN_01950	-
ANPAHHCN_01951	-
ANPAHHCN_01952	-
ANPAHHCN_01953	K06881
ANPAHHCN_01954	K02337
ANPAHHCN_01955	K00027
ANPAHHCN_01956	K01963
ANPAHHCN_01957	K01962
ANPAHHCN_01958	K00850
ANPAHHCN_01959	K00873
ANPAHHCN_01960	K07487
ANPAHHCN_01961	-
ANPAHHCN_01962	K03293
ANPAHHCN_01963	K01647
ANPAHHCN_01964	K00031
