#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
KDKFJGNO_01415	279010.BL05199	5.85e-13	64.7	290T0@1|root,2ZNF3@2|Bacteria,1W534@1239|Firmicutes,4I1ZV@91061|Bacilli,1ZPGP@1386|Bacillus	91061|Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01416	224308.BSU13060	4.81e-168	470.0	COG2323@1|root,COG2323@2|Bacteria,1V95K@1239|Firmicutes,4HIRN@91061|Bacilli,1ZQ05@1386|Bacillus	91061|Bacilli	S	Protein of unknown function (DUF421)	ykjA	0	0	0	0	0	0	0	0	0	0	0	DUF421
KDKFJGNO_01417	224308.BSU13070	1.57e-128	364.0	COG2318@1|root,COG2318@2|Bacteria,1VXC8@1239|Firmicutes,4HWVP@91061|Bacilli,1ZH7I@1386|Bacillus	91061|Bacilli	S	Protein of unknown function (DUF664)	ykkA	0	0	0	0	0	0	0	0	0	0	0	DUF664,DinB_2
KDKFJGNO_01418	224308.BSU13080	3.59e-128	363.0	COG1670@1|root,COG1670@2|Bacteria,1V4IY@1239|Firmicutes,4HG60@91061|Bacilli,1ZFNH@1386|Bacillus	91061|Bacilli	J	COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins	ykkB	0	0	0	0	0	0	0	0	0	0	0	Acetyltransf_3
KDKFJGNO_01419	224308.BSU13090	1.27e-72	218.0	COG2076@1|root,COG2076@2|Bacteria,1VA2G@1239|Firmicutes,4HKGV@91061|Bacilli,1ZHW4@1386|Bacillus	91061|Bacilli	P	Multidrug resistance protein	ykkC	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0015893,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0042221,GO:0042493,GO:0044425,GO:0044459,GO:0044464,GO:0046618,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944	0	ko:K18924	0	M00712	0	0	ko00000,ko00002,ko02000	2.A.7.1.5	0	0	Multi_Drug_Res
KDKFJGNO_01420	224308.BSU13100	2.86e-68	206.0	COG2076@1|root,COG2076@2|Bacteria,1VAQQ@1239|Firmicutes,4HKMP@91061|Bacilli,1ZHZ0@1386|Bacillus	91061|Bacilli	P	Multidrug resistance protein	ykkD	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008150,GO:0015893,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0042221,GO:0042493,GO:0044425,GO:0044459,GO:0044464,GO:0046618,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944	0	ko:K18925	0	M00712	0	0	ko00000,ko00002,ko02000	2.A.7.1.5	0	0	Multi_Drug_Res
KDKFJGNO_01421	224308.BSU13110	5.81e-218	601.0	COG0788@1|root,COG0788@2|Bacteria,1TSN4@1239|Firmicutes,4HAW2@91061|Bacilli,1ZAYE@1386|Bacillus	91061|Bacilli	F	Catalyzes the hydrolysis of 10-formyltetrahydrofolate (formyl-FH4) to formate and tetrahydrofolate (FH4)	purU	0	3.5.1.10	ko:K01433	ko00630,ko00670,map00630,map00670	0	R00944	RC00026,RC00111	ko00000,ko00001,ko01000	0	0	0	ACT,Formyl_trans_N
KDKFJGNO_01422	224308.BSU13120	3.16e-257	706.0	COG0263@1|root,COG0263@2|Bacteria,1TPG6@1239|Firmicutes,4HA9B@91061|Bacilli,1ZAPU@1386|Bacillus	91061|Bacilli	E	Catalyzes the transfer of a phosphate group to glutamate to form L-glutamate 5-phosphate	proB	GO:0003674,GO:0003824,GO:0004349,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016774,GO:0018130,GO:0019202,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.2.11	ko:K00931	ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230	M00015	R00239	RC00002,RC00043	ko00000,ko00001,ko00002,ko01000	0	0	0	AA_kinase,PUA
KDKFJGNO_01423	224308.BSU13130	3.38e-291	796.0	COG0014@1|root,COG0014@2|Bacteria,1TQ9V@1239|Firmicutes,4HB7B@91061|Bacilli,1ZC00@1386|Bacillus	91061|Bacilli	E	Catalyzes the NADPH-dependent reduction of L-glutamate 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5- carboxylate	proA	GO:0003674,GO:0003824,GO:0004350,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0055114	1.2.1.41	ko:K00147	ko00330,ko00332,ko01100,ko01110,ko01130,ko01230,map00330,map00332,map01100,map01110,map01130,map01230	M00015	R03313	RC00684	ko00000,ko00001,ko00002,ko01000	0	0	iYO844.BSU13130	Aldedh
KDKFJGNO_01424	224308.BSU13140	2.39e-93	273.0	COG1764@1|root,COG1764@2|Bacteria,1V54N@1239|Firmicutes,4HJCS@91061|Bacilli,1ZHD3@1386|Bacillus	91061|Bacilli	O	Organic hydroperoxide resistance protein	ohrA	0	0	0	0	0	0	0	0	0	0	0	OsmC
KDKFJGNO_01425	224308.BSU13150	1.21e-98	286.0	COG1846@1|root,COG1846@2|Bacteria,1V6G0@1239|Firmicutes,4HKQR@91061|Bacilli,1ZHB6@1386|Bacillus	91061|Bacilli	K	COG1846 Transcriptional regulators	ohrR	GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044212,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141	0	0	0	0	0	0	0	0	0	0	MarR
KDKFJGNO_01426	224308.BSU13160	8.15e-94	273.0	COG1764@1|root,COG1764@2|Bacteria,1V54N@1239|Firmicutes,4HJCS@91061|Bacilli,1ZHD3@1386|Bacillus	91061|Bacilli	O	Organic hydroperoxide resistance protein	ohrB	0	0	0	0	0	0	0	0	0	0	0	OsmC
KDKFJGNO_01428	224308.BSU13170	5.67e-115	328.0	COG0590@1|root,COG0590@2|Bacteria,1V7G0@1239|Firmicutes,4HJIH@91061|Bacilli,1ZEIN@1386|Bacillus	91061|Bacilli	FJ	COG0590 Cytosine adenosine deaminases	guaD	GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0034641,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360	3.5.4.3	ko:K01487	ko00230,ko01100,map00230,map01100	0	R01676	RC00204	ko00000,ko00001,ko01000	0	0	0	MafB19-deam,dCMP_cyt_deam_1
KDKFJGNO_01429	224308.BSU13180	0.0	1406.0	COG0620@1|root,COG0620@2|Bacteria,1TP2H@1239|Firmicutes,4H9QC@91061|Bacilli,1ZBI7@1386|Bacillus	91061|Bacilli	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation	metE	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0003871,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019752,GO:0032259,GO:0042084,GO:0042085,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0050667,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.1.1.14	ko:K00549	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	M00017	R04405,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	0	0	0	Meth_synt_1,Meth_synt_2
KDKFJGNO_01430	224308.BSU13190	3.66e-226	623.0	COG1404@1|root,COG1404@2|Bacteria,1TPZ5@1239|Firmicutes,4HA5F@91061|Bacilli,1ZPUP@1386|Bacillus	91061|Bacilli	O	Belongs to the peptidase S8 family	isp	0	0	ko:K13275	0	0	0	0	ko00000,ko01000,ko01002,ko03110	0	0	0	Peptidase_S8
KDKFJGNO_01431	224308.BSU13200	3.99e-193	536.0	COG1366@1|root,COG1366@2|Bacteria,1V1QF@1239|Firmicutes,4HGBT@91061|Bacilli,1ZDJX@1386|Bacillus	91061|Bacilli	T	COG1366 Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	0	0	0	ko:K17763	0	0	0	0	ko00000,ko03021	0	0	0	STAS
KDKFJGNO_01432	224308.BSU13210	3.8e-175	489.0	COG0619@1|root,COG0619@2|Bacteria,1TUDZ@1239|Firmicutes,4HCPC@91061|Bacilli,1ZEHA@1386|Bacillus	91061|Bacilli	P	Cobalt transport protein	ykoC	0	0	ko:K16785	ko02010,map02010	M00582	0	0	ko00000,ko00001,ko00002,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	0	0	CbiQ
KDKFJGNO_01433	224308.BSU13220	0.0	1070.0	COG1122@1|root,COG1122@2|Bacteria,1TPH8@1239|Firmicutes,4HAJM@91061|Bacilli,1ZD95@1386|Bacillus	91061|Bacilli	P	ABC transporter, ATP-binding protein	ykoD	GO:0003674,GO:0003824,GO:0005215,GO:0006810,GO:0008150,GO:0015399,GO:0015405,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0042623,GO:0042626,GO:0043492,GO:0051179,GO:0051234,GO:0055085	0	ko:K16786,ko:K16787	ko02010,map02010	M00582	0	0	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	0	0	ABC_tran,DUF3744
KDKFJGNO_01434	224308.BSU13230	1.39e-127	364.0	COG4721@1|root,COG4721@2|Bacteria,1V39N@1239|Firmicutes,4HF32@91061|Bacilli,1ZEPF@1386|Bacillus	91061|Bacilli	S	ABC-type cobalt transport system, permease component	ykoE	0	0	ko:K16925	0	M00582	0	0	ko00000,ko00002,ko02000	3.A.1.30	0	0	ABC_cobalt
KDKFJGNO_01435	224308.BSU13240	7.28e-144	405.0	28NV2@1|root,2ZBT9@2|Bacteria,1TQQC@1239|Firmicutes,4HCCT@91061|Bacilli,1ZFNS@1386|Bacillus	91061|Bacilli	S	YKOF-related Family	ykoF	0	0	0	0	0	0	0	0	0	0	0	Ykof
KDKFJGNO_01436	224308.BSU13250	1.28e-160	450.0	COG0745@1|root,COG0745@2|Bacteria,1TS81@1239|Firmicutes,4H9NE@91061|Bacilli,1ZD1X@1386|Bacillus	91061|Bacilli	T	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	ykoG	0	0	ko:K02483	0	0	0	0	ko00000,ko02022	0	0	0	Response_reg,Trans_reg_C
KDKFJGNO_01437	224308.BSU13260	8.05e-312	851.0	COG3850@1|root,COG5002@1|root,COG3850@2|Bacteria,COG5002@2|Bacteria,1TPSK@1239|Firmicutes,4HAH5@91061|Bacilli,1ZB8J@1386|Bacillus	91061|Bacilli	T	Histidine kinase	ykoH	0	0	0	0	0	0	0	0	0	0	0	HAMP,HATPase_c,HisKA
KDKFJGNO_01438	224308.BSU13270	3.35e-146	413.0	COG3212@1|root,COG3212@2|Bacteria,1VHVW@1239|Firmicutes,4HP4W@91061|Bacilli,1ZDTW@1386|Bacillus	91061|Bacilli	S	Peptidase propeptide and YPEB domain	ykoI	0	0	0	0	0	0	0	0	0	0	0	PepSY
KDKFJGNO_01439	224308.BSU13280	2.24e-112	323.0	COG3212@1|root,COG3212@2|Bacteria,1VEU1@1239|Firmicutes,4HPJK@91061|Bacilli,1ZJ8Z@1386|Bacillus	91061|Bacilli	S	Peptidase propeptide and YPEB domain	ykoJ	0	0	0	0	0	0	0	0	0	0	0	PepSY
KDKFJGNO_01440	1178537.BA1_12699	1.45e-08	51.6	29TAK@1|root,30EHN@2|Bacteria,1UCJT@1239|Firmicutes,4IP1Y@91061|Bacilli,1ZP9H@1386|Bacillus	91061|Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01442	224308.BSU13300	9.86e-300	820.0	COG2239@1|root,COG2239@2|Bacteria,1TP4V@1239|Firmicutes,4HASP@91061|Bacilli,1ZCSG@1386|Bacillus	91061|Bacilli	P	Acts as a magnesium transporter	mgtE	0	0	ko:K06213	0	0	0	0	ko00000,ko02000	1.A.26.1	0	iYO844.BSU13300	CBS,MgtE,MgtE_N
KDKFJGNO_01443	224308.BSU13310	1.49e-70	213.0	COG0789@1|root,COG0789@2|Bacteria,1VABB@1239|Firmicutes,4HMSS@91061|Bacilli,1ZHYS@1386|Bacillus	91061|Bacilli	K	transcriptional	tnrA	GO:0001047,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006355,GO:0006808,GO:0007154,GO:0007584,GO:0008150,GO:0009605,GO:0009719,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031667,GO:0031668,GO:0031669,GO:0031670,GO:0042221,GO:0043562,GO:0044212,GO:0044464,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071310,GO:0071417,GO:0071495,GO:0071496,GO:0071944,GO:0080090,GO:0090293,GO:0090294,GO:0097159,GO:1901363,GO:1901698,GO:1901699,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	0	0	0	0	0	0	0	0	0	0	MerR_1
KDKFJGNO_01444	224308.BSU13320	1.63e-25	94.7	29S82@1|root,30DCJ@2|Bacteria,1UB54@1239|Firmicutes,4IMHP@91061|Bacilli,1ZK6F@1386|Bacillus	91061|Bacilli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01445	224308.BSU13330	3.04e-36	122.0	29SC8@1|root,30DGU@2|Bacteria,1UB9W@1239|Firmicutes,4IMNN@91061|Bacilli,1ZKHJ@1386|Bacillus	91061|Bacilli	0	0	ykoL	0	0	0	0	0	0	0	0	0	0	0	Fur_reg_FbpA
KDKFJGNO_01446	224308.BSU13340	9.83e-106	305.0	COG1846@1|root,COG1846@2|Bacteria,1V7Z7@1239|Firmicutes,4HJ25@91061|Bacilli,1ZCI8@1386|Bacillus	91061|Bacilli	K	transcriptional	ykoM	GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0044212,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141	0	ko:K15973	0	0	0	0	ko00000,ko03000	0	0	0	MarR
KDKFJGNO_01447	224308.BSU13350	1.19e-281	768.0	COG0707@1|root,COG0707@2|Bacteria,1UQ6A@1239|Firmicutes,4HDYW@91061|Bacilli,1ZC45@1386|Bacillus	91061|Bacilli	M	COG0707 UDP-N-acetylglucosamine LPS N-acetylglucosamine transferase	ugtP	0	2.4.1.315	ko:K03429	ko00561,ko01100,map00561,map01100	0	R02689,R04377	RC00005,RC00059	ko00000,ko00001,ko01000,ko01003	0	GT28	0	Glyco_tran_28_C,MGDG_synth
KDKFJGNO_01448	224308.BSU13360	2.48e-129	367.0	COG0726@1|root,COG0726@2|Bacteria,1V6E9@1239|Firmicutes,4HIR9@91061|Bacilli,1ZHR8@1386|Bacillus	91061|Bacilli	G	polysaccharide deacetylase	ykoP	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01449	224308.BSU13370	4.35e-198	548.0	COG1408@1|root,COG1408@2|Bacteria,1TUM2@1239|Firmicutes,4HAX1@91061|Bacilli,1ZDBZ@1386|Bacillus	91061|Bacilli	S	Calcineurin-like phosphoesterase superfamily domain	ykoQ	0	0	ko:K07098	0	0	0	0	ko00000	0	0	0	Metallophos,Metallophos_2
KDKFJGNO_01450	224308.BSU13380	0.0	1135.0	28H8D@1|root,2Z7KA@2|Bacteria,1UB21@1239|Firmicutes,4HA47@91061|Bacilli,1ZB3G@1386|Bacillus	91061|Bacilli	0	0	ykoS	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01451	224308.BSU13390	5.72e-239	657.0	COG0463@1|root,COG0463@2|Bacteria,1TPR3@1239|Firmicutes,4HC2Z@91061|Bacilli,1ZD2D@1386|Bacillus	91061|Bacilli	M	COG0463 Glycosyltransferases involved in cell wall biogenesis	ykoT	0	0	0	0	0	0	0	0	0	0	0	Glycos_transf_2
KDKFJGNO_01452	224308.BSU13400	0.0	1257.0	COG1793@1|root,COG3285@1|root,COG1793@2|Bacteria,COG3285@2|Bacteria,1TSAC@1239|Firmicutes,4HAJG@91061|Bacilli,1ZB2G@1386|Bacillus	91061|Bacilli	L	ATP-dependent DNA ligase	ligD	0	6.5.1.1	ko:K01971	ko03450,map03450	0	R00381	RC00005	ko00000,ko00001,ko01000,ko03400	0	0	0	DNA_ligase_A_M
KDKFJGNO_01453	224308.BSU13410	7.55e-206	570.0	COG1273@1|root,COG1273@2|Bacteria,1TSY5@1239|Firmicutes,4HC5V@91061|Bacilli,1ZB9J@1386|Bacillus	91061|Bacilli	L	With LigD forms a non-homologous end joining (NHEJ) DNA repair enzyme, which repairs dsDNA breaks with reduced fidelity. Binds linear dsDNA with 5'- and 3'- overhangs but not closed circular dsDNA nor ssDNA. Recruits and stimulates the ligase activity of LigD	ku	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0097159,GO:1901363	0	ko:K10979	ko03450,map03450	0	0	0	ko00000,ko00001,ko03400	0	0	0	Ku
KDKFJGNO_01454	224308.BSU13420	0.0	1555.0	COG3300@1|root,COG5001@1|root,COG3300@2|Bacteria,COG5001@2|Bacteria,1TP8V@1239|Firmicutes,4HA3G@91061|Bacilli,1ZAVY@1386|Bacillus	91061|Bacilli	T	Diguanylate cyclase	ykoW	0	2.7.7.65	ko:K21023	ko02025,map02025	0	0	0	ko00000,ko00001,ko01000	0	0	0	EAL,GGDEF,MHYT
KDKFJGNO_01455	224308.BSU13430	4.48e-153	430.0	COG0586@1|root,COG0586@2|Bacteria,1V1D4@1239|Firmicutes,4HFSU@91061|Bacilli,1ZCPB@1386|Bacillus	91061|Bacilli	S	membrane-associated protein	ykoX	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	0	0	0	0	0	0	0	0	0	0	SNARE_assoc
KDKFJGNO_01456	224308.BSU13440	4.63e-227	626.0	COG0861@1|root,COG0861@2|Bacteria,1TQ09@1239|Firmicutes,4HB99@91061|Bacilli,1ZBPQ@1386|Bacillus	91061|Bacilli	P	COG0861 Membrane protein TerC, possibly involved in tellurium resistance	ykoY	0	0	0	0	0	0	0	0	0	0	0	TerC
KDKFJGNO_01457	224308.BSU13450	1.8e-167	469.0	COG1191@1|root,COG1191@2|Bacteria,1V5E6@1239|Firmicutes,4HEBS@91061|Bacilli,1ZCY4@1386|Bacillus	91061|Bacilli	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	sigI	0	0	ko:K03093	0	0	0	0	ko00000,ko03021	0	0	0	Sigma70_r2
KDKFJGNO_01458	224308.BSU13460	9.33e-219	610.0	2E3R1@1|root,32YNU@2|Bacteria,1VEND@1239|Firmicutes,4HNII@91061|Bacilli,1ZFAW@1386|Bacillus	91061|Bacilli	S	Anti-sigma factor N-terminus	rsgI	0	0	0	0	0	0	0	0	0	0	0	RsgI_N
KDKFJGNO_01459	224308.BSU13470	1.4e-36	123.0	2BX75@1|root,32YR8@2|Bacteria,1VJMT@1239|Firmicutes,4HP70@91061|Bacilli,1ZIU2@1386|Bacillus	91061|Bacilli	S	small acid-soluble spore protein	sspD	0	0	ko:K06421	0	0	0	0	ko00000	0	0	0	SASP
KDKFJGNO_01460	224308.BSU13480	7.68e-160	448.0	28PJY@1|root,2ZC9F@2|Bacteria,1V390@1239|Firmicutes,4HG7F@91061|Bacilli,1ZDN7@1386|Bacillus	91061|Bacilli	S	Domain of unknown function (DUF1836)	ykrK	0	0	0	0	0	0	0	0	0	0	0	DUF1836
KDKFJGNO_01461	224308.BSU13490	3.4e-200	556.0	COG0501@1|root,COG0501@2|Bacteria,1TP23@1239|Firmicutes,4HB11@91061|Bacilli,1ZBW6@1386|Bacillus	91061|Bacilli	O	Belongs to the peptidase M48B family	htpX	0	0	ko:K03799	0	M00743	0	0	ko00000,ko00002,ko01000,ko01002	0	0	0	Peptidase_M48
KDKFJGNO_01462	224308.BSU13500	1.82e-310	847.0	COG0168@1|root,COG0168@2|Bacteria,1TQ4S@1239|Firmicutes,4H9ME@91061|Bacilli,1ZD2H@1386|Bacillus	91061|Bacilli	P	COG0168 Trk-type K transport systems, membrane components	ktrD	0	0	0	0	0	0	0	0	0	0	0	TrkH
KDKFJGNO_01463	326423.RBAM_013280	2.96e-14	70.5	COG2323@1|root,COG2323@2|Bacteria,1V3N6@1239|Firmicutes,4HDTW@91061|Bacilli,1ZGSS@1386|Bacillus	91061|Bacilli	S	Protein of unknown function (DUF421)	0	0	0	0	0	0	0	0	0	0	0	0	DUF421
KDKFJGNO_01464	224308.BSU13510	8.33e-31	108.0	29S13@1|root,30D5G@2|Bacteria,1UAVK@1239|Firmicutes,4IM8F@91061|Bacilli,1ZJGH@1386|Bacillus	91061|Bacilli	0	0	ykzE	0	0	0	0	0	0	0	0	0	0	0	0
KDKFJGNO_01465	224308.BSU13520	3.34e-244	671.0	COG3594@1|root,COG3594@2|Bacteria,1TPGY@1239|Firmicutes,4HCER@91061|Bacilli,1ZDAV@1386|Bacillus	91061|Bacilli	G	COG3594 Fucose 4-O-acetylase and related acetyltransferases	ykrP	0	0	0	0	0	0	0	0	0	0	0	Acyl_transf_3
KDKFJGNO_01466	224308.BSU13530	0.0	1434.0	COG5002@1|root,COG5002@2|Bacteria,1VUBP@1239|Firmicutes,4HUPW@91061|Bacilli,1ZS15@1386|Bacillus	91061|Bacilli	T	Histidine kinase	kinE	0	2.7.13.3	ko:K13533	ko02020,map02020	M00485	0	0	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	0	0	0	HATPase_c,HisKA,PAS,PAS_4,PAS_8,PAS_9
KDKFJGNO_01467	224308.BSU13540	2.76e-115	330.0	COG0350@1|root,COG0350@2|Bacteria,1VA03@1239|Firmicutes,4HKC0@91061|Bacilli,1ZGW4@1386|Bacillus	91061|Bacilli	L	Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated	ogt	GO:0003674,GO:0003824,GO:0003908,GO:0006139,GO:0006259,GO:0006281,GO:0006304,GO:0006307,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0033554,GO:0034641,GO:0035510,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360	2.1.1.63	ko:K00567,ko:K13531	0	0	0	0	ko00000,ko01000,ko03400	0	0	0	DNA_binding_1,Methyltransf_1N
KDKFJGNO_01469	224308.BSU13550	1.62e-253	695.0	COG0182@1|root,COG0182@2|Bacteria,1TPDK@1239|Firmicutes,4H9WM@91061|Bacilli,1ZCD9@1386|Bacillus	91061|Bacilli	E	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)	mtnA	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0019509,GO:0019752,GO:0043094,GO:0043102,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046523,GO:0071265,GO:0071267,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	5.3.1.23	ko:K08963	ko00270,ko01100,map00270,map01100	M00034	R04420	RC01151	ko00000,ko00001,ko00002,ko01000	0	0	0	IF-2B
KDKFJGNO_01470	224308.BSU13560	2.47e-293	800.0	COG4857@1|root,COG4857@2|Bacteria,1TPHY@1239|Firmicutes,4H9QU@91061|Bacilli,1ZBZS@1386|Bacillus	91061|Bacilli	F	Catalyzes the phosphorylation of methylthioribose into methylthioribose-1-phosphate	mtnK	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.1.100	ko:K00899	ko00270,ko01100,map00270,map01100	M00034	R04143	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	0	0	0	APH
KDKFJGNO_01471	224308.BSU13570	1.99e-193	535.0	COG0388@1|root,COG0388@2|Bacteria,1TQDK@1239|Firmicutes,4HC44@91061|Bacilli,1ZB5Z@1386|Bacillus	91061|Bacilli	S	Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase	mtnU	0	3.5.1.3	ko:K13566	ko00250,map00250	0	R00269,R00348	RC00010	ko00000,ko00001,ko01000	0	0	0	CN_hydrolase
